stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,237.2,3307.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,3113.85,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,49.04,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,89.38,57.83,184.01,0,0,0,191.9,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,2039.88,81.49,0,0,912.16,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,44.06,0,0,0,40.91,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,1035.35,44.06,0,0,431.13,0,0,0,0,34.62,0,0,3.15,0,0,0,0
 14-21,0,0,5,99,17,0,13,0,2,0,5,24,0,3,0,2,0,0,0,86,0,0,43,251,27,0,10,17,0,0,1,127,16,1,45,105,0,0,5,0
 24-34,0,0,5.75,18.06,1.64,0,24.63,0,3.28,2.46,5.75,2.46,0,3.28,0,0.82,0,0.82,0,143.65,0,0,57.46,236.41,51.71,0,10.67,0,0.82,0.82,0,0,2.46,0,19.7,77.98,0,0,12.31,0
 36-46,0,0,0.81,6.45,0,0,13.7,0.81,3.22,2.42,4.03,1.61,0,3.22,0,0,0,0,0,225.59,0,2.42,37.87,111.99,33.03,0.81,3.22,0,0,0,0,0,1.61,0,0,53.98,0,0,4.03,0
 48-58,0,0,0,6.31,0,0,20.08,0,3.44,10.9,5.74,0.57,0.57,3.44,0,0.57,0,0.57,0,267.97,0,6.31,31.56,45.9,17.79,0,4.59,0,2.3,0,0,0,0.57,0,0,28.69,0,2.3,2.3,0.57
 60-70,0,0,0,14.72,0,0,15.7,0.98,4.91,7.85,6.87,0,0,3.93,0,0,0,0,0.98,309.18,0.98,8.83,20.61,38.28,6.87,0,2.94,0,1.96,0,0,0,2.94,0,0,9.82,0,3.93,0,2.94
 72-82,0,0,0,14.72,0,0,26.5,0,6.87,18.65,10.8,0,0,3.93,3.93,0.98,0,0,0,356.34,0.98,12.76,25.52,29.45,6.87,0,8.83,0,3.93,0.98,0,0,0,0,0,0.98,0,11.78,1.96,9.82
 84-94,0,0,0,20.18,0,0,26.55,1.06,8.5,8.5,13.81,0,2.12,0,3.19,0,1.06,0,0,214.53,0,19.12,13.81,21.24,8.5,1.06,7.43,0,0,2.12,0,0,1.06,0,0,6.37,2.12,10.62,1.06,8.5
 96-106,0,0,0,22.95,1.09,0,20.76,1.09,10.93,5.46,6.56,0,0,5.46,6.56,0,2.19,0,0,197.81,0,7.65,4.37,30.6,7.65,0,10.93,0,4.37,0,0,0,1.09,0,0,2.19,1.09,10.93,0,4.37
108-118,0,0,0,21.45,0.77,0.77,6.89,0,14.55,3.83,15.32,0,0,0,2.3,0,0.77,0,0,173.87,0,5.36,8.43,22.98,14.55,0,10.72,0,0,0,0,0,0.77,0,0,3.06,0.77,6.89,2.3,4.6
120,0,0,0,33.32,0,0,7.84,0,3.92,7.84,0,0,0,1.96,1.96,0,1.96,1.96,0,125.43,0,11.76,7.84,19.6,25.48,0,7.84,0,1.96,0,0,0,1.96,0,0,3.92,0,1.96,0,5.88
