stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,380.04,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,10.51,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,139.32,2.63,0,0,47.32,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,141.61,0,0,0,44.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,8,0,1,1,0,0,0,0,4,0,0,3,64,0,0,0,3,0,8,1,1,6,21,0,0,0
 24-34,0,0,0,1.64,0,4.93,0,1.64,1.64,0,0,0,0.82,5.75,0,0,0.82,63.21,0,0.82,0.82,0,0.82,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,1.61,0,5.64,0,2.42,0,0,0,0,0.81,8.86,0,0.81,2.42,59.62,0,0,2.42,0,0,0,0,0,0,16.92,0,0.81,0
 48-58,0,0,0,2.3,0,18.94,0,5.16,0,0,1.15,0,0,10.33,0.57,0.57,1.72,52.22,0,0,0,0,0.57,0,0,0,0,9.75,0,0,0
 60-70,0,0,0,2.94,0.98,25.52,0,5.89,0,0,0,0,0,15.7,0,0,0.98,39.26,0,0,0.98,0,0,0,0.98,0,0,4.91,0.98,1.96,0
 72-82,0,0,0,0.98,0,11.78,0,9.82,0,0,0.98,0,0,20.61,0,0,1.96,25.52,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,1.06,0,10.62,1.06,5.31,0,0,0,0,0,5.31,0,0,1.06,8.5,0,0,0,0,3.19,0,0,0,0,3.19,0,3.19,0
 96-106,0,0,0,2.19,0,6.56,1.09,1.09,0,0,0,1.09,0,7.65,1.09,0,1.09,9.84,0,0,0,0,2.19,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,4.6,0.77,2.3,0.77,0,0,0.77,0,0.77,0,0,0.77,12.26,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,1.96,0,5.88,0,5.88,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
