stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,980.74,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,10.51,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,113.03,5.26,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,28,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6,26,2,0,0,0,0,4,0,15,2,15,16,0,0,3,0,0
 24-34,0,0,1.64,1.64,32.83,0.82,0,5.75,0,1.64,0,2.46,0.82,0.82,3.28,0,0,0.82,2.46,0.82,2.46,49.25,0,0,26.27,62.39,1.64,2.46,3.28,0,0.82,4.1,0,0,2.46,4.1,6.57,0,0,11.49,0,0
 36-46,0,0,0.81,0,11.28,0,0,4.03,0,4.83,3.22,5.64,0,0,3.22,0,1.61,0,5.64,0.81,3.22,56.4,3.22,1.61,26.59,65.26,0,1.61,0.81,0,0,12.89,0,0.81,0.81,0,9.67,0,0,8.86,0,2.42
 48-58,0,0,0.57,0.57,10.33,0,0,6.31,0.57,3.44,4.59,12.05,0.57,0,2.87,0.57,0.57,0.57,3.44,0,6.31,64.27,0.57,0.57,18.36,41.89,0,1.15,0.57,0,0.57,14.92,0,0,0,0,9.18,0,1.15,5.16,0,1.72
 60-70,0,0,0.98,0,18.65,0,0,2.94,0,1.96,4.91,47.11,1.96,1.96,0.98,2.94,0.98,0.98,0,0.98,7.85,93.24,1.96,6.87,6.87,22.58,0.98,3.93,6.87,0,1.96,23.56,0,0,0,0,9.82,0,4.91,5.89,0,0.98
 72-82,0,0,2.94,0,11.78,0.98,0,11.78,0.98,4.91,9.82,51.05,6.87,0.98,0.98,3.93,3.93,0.98,6.87,0.98,2.94,119.76,3.93,6.87,12.76,20.61,0,0.98,1.96,0,0,62.83,0,0,0,0,3.93,4.91,0,10.8,3.93,1.96
 84-94,0,0,3.19,0,38.23,0,0,11.68,1.06,18.05,4.25,29.74,8.5,2.12,2.12,7.43,7.43,1.06,6.37,0,9.56,111.51,8.5,4.25,13.81,19.12,1.06,0,8.5,0,1.06,176.3,0,0,1.06,0,4.25,9.56,5.31,10.62,3.19,5.31
 96-106,0,0,4.37,0,44.81,0,0,17.49,1.09,13.11,1.09,28.41,7.65,1.09,2.19,4.37,7.65,4.37,6.56,3.28,4.37,83.06,6.56,9.84,6.56,25.14,0,6.56,8.74,0,2.19,181.41,0,0,0,0,2.19,10.93,1.09,16.39,9.84,1.09
108-118,0,0,3.06,0,49.02,0,2.3,9.96,0,9.19,6.13,23.74,8.43,0,1.53,8.43,4.6,4.6,3.83,3.06,6.13,73.53,6.89,4.6,6.89,12.26,1.53,3.83,3.06,0,3.06,115.66,0,0,0.77,0,0.77,8.43,3.06,9.96,3.83,0.77
120,0,0,1.96,0,62.71,1.96,1.96,13.72,0,17.64,1.96,21.56,9.8,0,0,9.8,5.88,3.92,1.96,1.96,3.92,90.15,5.88,13.72,9.8,25.48,3.92,1.96,3.92,0,1.96,137.18,1.96,0,0,0,1.96,3.92,3.92,19.6,1.96,0
