stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,4,1,8,0,0,0,0,0,0,0,0,1,0,1,3,0,2,7,0,0,0,1,0,3,1,1,3,8,0,0,29
 24-34,0,0,0.82,2.46,0,81.26,0,0,0,0.82,0,0.82,0,0,5.75,0,0,24.63,0,17.24,45.97,0,0,1.64,0,0,1.64,0,0,0.82,3.28,3.28,0,136.26
 36-46,0,0.81,0,0.81,0,62.84,0.81,0,1.61,1.61,0,2.42,0,0,5.64,0.81,0,20.14,0,7.25,13.7,0,0.81,0,0,0,0.81,0,0.81,0,5.64,0.81,0,71.7
 48-58,0,0,0,0.57,0,70.58,0,0,2.3,3.44,0,1.72,0,0,16.07,0,0,21.23,0.57,4.02,19.51,0.57,0,0.57,0,0,0,0,0.57,0,2.87,0.57,0,87.79
 60-70,0,0,0,0,0,68.71,0,0,0,5.89,0.98,0,0.98,0,31.41,0,0.98,23.56,0,1.96,20.61,0,0,0,0,0,0,0,0,0,1.96,0,0,71.65
 72-82,0,0,0,1.96,0,66.75,0,0,0,1.96,0,0,0,0,35.34,0,0,28.47,1.96,3.93,16.69,0,0.98,0,0,0.98,0,0,0,0,0.98,2.94,0,48.1
 84-94,0,0,0,1.06,0,111.51,0,0,0,3.19,1.06,0,0,0,66.91,0,0,16.99,2.12,2.12,9.56,0,0,0,0,0,1.06,0,0,0,2.12,0,1.06,61.6
 96-106,0,0,0,1.09,1.09,83.06,0,0,1.09,5.46,1.09,1.09,2.19,2.19,87.43,1.09,1.09,13.11,1.09,3.28,9.84,0,0,0,0,1.09,1.09,0,0,0,0,0,0,75.41
108-118,0,0,0,1.53,0.77,81.96,0,0.77,0.77,2.3,2.3,0,0.77,0,113.36,0,1.53,17.62,0.77,0.77,13.79,0,0.77,3.83,0,0,0,0,0,0,0,0,0,88.09
120,0,0,0,5.88,0,35.28,1.96,0,0,7.84,1.96,0,0,0,54.87,0,1.96,11.76,0,1.96,21.56,1.96,0,0,0,0,0,0,0,0,0,0,0,39.2
