stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0
  5-6,42.91,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,18,0,0,21,1,0,0,3,0,6,10,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,8.21,0,0,0,64.03,0,0,32.01,0,0,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,0,5.64,0,0,0,47.53,0,0,10.47,0,0,0,0,0,0,7.25,0,1.61,0,0
 48-58,0,0,0,0,1.15,2.3,0,20.66,0,0.57,0.57,3.44,0,0,0.57,0,0,0.57,0,0.57,0,14.92,0,0,1.15,71.73,0,0,12.05,0,0,0,0,0,0,4.02,0,1.15,0,1.15
 60-70,0,0,0,0,4.91,1.96,0,45.15,0,0.98,0,17.67,0.98,0,0,0,0,0,0,0,0,21.59,0,0,0,51.04,0,0,4.91,0,0.98,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,9.82,13.74,0,40.25,0,0,0.98,25.52,0,0,0.98,0,0,0,0,0,0,20.61,0.98,0.98,0.98,35.34,0,0.98,7.85,0,0.98,0.98,0,0,0,1.96,1.96,1.96,0,0
 84-94,0,0,1.06,0,15.93,13.81,0,46.73,0,1.06,1.06,13.81,1.06,0,0,0,0,0,1.06,4.25,0,8.5,0,0,0,20.18,0,0,16.99,0,0,0,0,0,0,2.12,4.25,0,0,0
 96-106,0,0,1.09,0,16.39,7.65,0,57.92,1.09,1.09,1.09,21.86,1.09,0,0,1.09,1.09,0,5.46,1.09,0,5.46,0,0,1.09,16.39,0,1.09,17.49,0,2.19,2.19,0,0,0,0,5.46,1.09,0,0
108-118,0,0,0,0,13.79,4.6,1.53,47.49,0,0,0,16.09,1.53,0,0.77,0,0.77,0,3.83,2.3,0.77,6.13,0,0,2.3,24.51,0,1.53,17.62,0,1.53,0,0,0,0,0.77,0.77,2.3,0,0
120,0,0,0,0,9.8,7.84,0,50.95,0,0,0,7.84,0,0,0,0,0,0,3.92,1.96,0,3.92,0,0,1.96,17.64,0,0,21.56,0,0,0,0,0,0,0,0,1.96,1.96,0
