stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,7.89,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0.82,0,1.64,0,0,0,0,0,12.31,0,0,0.82,0,0,0,4.93,0,0
 36-46,0,0,0,0.81,0,0,0,0,23.36,0,0,0,0,0,0,11.28,0.81,0
 48-58,0,0,1.15,0.57,0.57,0,0,1.15,21.8,0,0.57,0,0,0,0,4.02,0.57,0
 60-70,0,0,2.94,0,0,0,0,0,112.88,0,0.98,0,0,0,0,7.85,0,0
 72-82,0,0,0.98,0,0.98,0,0,3.93,47.12,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,2.12,1.06,0,1.06,21.24,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,2.19,1.09,0,0,0,0,0,29.51,0,1.09,0,0,0,0,0,0,1.09
108-118,0,1.53,2.3,0,0.77,0,0,0,30.64,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,0,35.28,0,0,1.96,0,0,1.96,0,1.96,0
