stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,2,104,22,37,0,2,0,99,5,0,1,0,1,0,0,0,0,53,0,0,25,801,19,12,51,39,0,1,1,107,88,1,50,539,0,0,1,0,1
 24-34,4.93,3.28,32.83,0.82,44.33,0,0.82,3.28,95.22,0,0,0,0,0,0.82,3.28,0,0,88.65,0.82,0,43.51,942.34,3.28,33.66,12.31,0,0,3.28,0,0,52.53,0.82,22.16,451.47,0,0,6.57,0,0.82
 36-46,1.61,0,16.92,0.81,82.18,0.81,0.81,3.22,120.04,0,0,2.42,0,0,0,4.83,1.61,0.81,127.3,0,4.03,37.06,1104.57,2.42,41.89,8.06,0,0,4.03,1.61,1.61,26.59,0,0,365.77,0,0.81,8.86,0,3.22
 48-58,0.57,0,12.62,1.72,175.58,0,1.72,6.31,110.74,0.57,0.57,3.44,0.57,0,0,5.16,0,1.15,125.09,0,4.59,17.79,907.76,0.57,23.53,10.33,0,0,4.59,0,0,9.18,0,0,264.52,0,1.15,2.3,0,1.72
 60-70,0,0,9.82,0,401.44,0,1.96,4.91,130.54,4.91,0,0.98,2.94,0.98,0,9.82,0,0,175.69,0.98,6.87,25.52,1045.32,1.96,15.7,16.69,0,2.94,5.89,0,0,3.93,0,0,163.91,0.98,4.91,2.94,1.96,0.98
 72-82,9.82,0,19.63,3.93,327.88,0.98,0.98,12.76,145.29,5.89,0,3.93,0,0.98,1.96,12.76,0.98,0.98,209.09,0.98,6.87,23.56,789.26,0.98,33.38,24.54,0,2.94,2.94,0,0,6.87,0,0,98.17,0.98,3.93,5.89,8.83,6.87
 84-94,4.25,1.06,29.74,7.43,285.69,0,2.12,10.62,113.64,3.19,2.12,3.19,0,3.19,2.12,12.74,1.06,4.25,173.11,0,20.18,14.87,412.07,2.12,26.55,44.61,0,0,26.55,1.06,0,5.31,0,0,55.23,1.06,7.43,6.37,8.5,4.25
 96-106,3.28,1.09,21.86,2.19,173.76,0,4.37,8.74,98.36,6.56,0,5.46,3.28,2.19,1.09,21.86,0,2.19,173.76,1.09,7.65,13.11,313.65,3.28,30.6,55.74,0,1.09,18.58,0,0,6.56,0,0,33.88,0,9.84,9.84,10.93,2.19
108-118,8.43,1.53,29.87,5.36,149.36,0.77,9.19,3.83,65.87,4.6,0,2.3,2.3,0.77,0,9.96,0.77,2.3,140.94,1.53,3.83,6.89,378.39,4.6,22.98,32.94,0,1.53,15.32,0,0,6.13,0,0,22.98,1.53,3.06,3.83,8.43,5.36
120,3.92,0,19.6,5.88,109.75,0,5.88,3.92,66.63,5.88,0,1.96,0,0,0,17.64,0,1.96,86.23,0,5.88,5.88,292.01,5.88,13.72,21.56,0,0,5.88,1.96,0,1.96,0,0,19.6,0,7.84,7.84,7.84,0
