stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,18.4,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,9.44,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,2,6,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0.82,0.82,5.75,0,0,0.82,0,0.82,0,0.82,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,2.42,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,1.15,1.15,1.15,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0.98,0,6.87,0,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,0,0,4.91,0.98,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,1.06,2.12,0,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,2.19,0,0,0,1.09,0,0,2.19,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0,0,0,0,0.77,0.77,4.6,0.77,3.06,0.77,0,0,0,0,0,0.77,0.77
120,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
