stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,2,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0,0,1.64,0,0,8.21,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,2.46,90.29,0.82,0,0,0,2.46,0,1.64,12.31,0,0,0,0
 36-46,0,0,0,1.61,0,0,6.45,0,0,0.81,0,3.22,0,0,0,0,0,0,4.03,0,0,0,141.8,0,0.81,0,0,0.81,0,0,16.11,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,15.49,0,1.15,8.61,0,1.15,0,0,0.57,0,0,0.57,6.89,0,1.15,0,193.37,0,0,0.57,0.57,0.57,0,0,16.64,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,58.89,0.98,0.98,20.61,0,0,0,0,0,0.98,0,0,10.8,0,1.96,0.98,502.54,0,0,0,0,1.96,0.98,0,17.67,0,0,0.98,0
 72-82,0,0,0,4.91,0,0,138.41,0,0,30.43,0.98,0,0.98,0,1.96,0,0,0.98,9.82,0,8.83,2.94,448.62,0,0,2.94,0,0,0.98,0,14.72,0.98,1.96,0.98,0
 84-94,0,0,0,6.37,0,0,141.25,0,0,23.36,0,0,0,0,0,1.06,0,1.06,5.31,1.06,4.25,0,240.02,0,1.06,1.06,0,2.12,1.06,0,9.56,1.06,1.06,1.06,1.06
 96-106,0,0,0,1.09,0,0,132.23,0,1.09,25.14,0,0,0,1.09,1.09,0,0,0,12.02,0,2.19,1.09,233.87,0,0,1.09,0,1.09,1.09,1.09,8.74,3.28,0,1.09,1.09
108-118,0,0,0,3.83,0,0.77,119.49,0,0,22.98,0,0.77,0,0,0.77,0,0.77,0.77,9.19,0,3.06,0,224.43,0,0,0,0,0.77,0,0,4.6,0,0.77,3.06,0
120,0,0,0,5.88,0,0,131.31,0,0,25.48,0,0,1.96,0,0,0,0,0,5.88,0,5.88,3.92,256.73,1.96,0,1.96,0,0,1.96,0,7.84,0,1.96,1.96,0
