stage,axial,endoderm,erythrocytes,eye,glial,hatching_gland,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,3.22,0,0,0,1.61,0,1.61,0,0,0
 48-58,0,0,0,2.3,1.15,0,0.57,0,0,0,0,3.44,0,0,0,1.15,0,0.57,0,0,0.57
 60-70,0,0,0,2.94,2.94,0,0,1.96,0.98,0,0.98,2.94,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,2.94,1.96,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0.98,0.98,0,0.98,0
 84-94,0,0,0,2.12,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,0,2.19,0,0,1.09,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0,2.3,1.53,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
