stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,2.63,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,152.47,18.4,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,40.91,0,0,28.32,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,267.49,37.76,0,0,88.12,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,3,8,34,17,26,0,1,0,20,10,2,2,0,0,0,0,3,64,0,0,67,506,17,0,8,6,0,0,38,6,140,118,184,0,9,0,1
 24-34,0,0,1.64,3.28,9.03,0.82,19.7,20.52,0,1.64,8.21,0.82,0,2.46,0,0,0,0.82,0,36.94,0,0,22.98,190.44,8.21,0,3.28,0,0,1.64,0,3.28,126.41,33.66,72.24,0,7.39,0,0
 36-46,0,0,2.42,0.81,1.61,0,17.72,70.9,0,0,8.06,0,0,0.81,0,0.81,0,0,0.81,26.59,0,0,23.36,120.04,0.81,0,0.81,0,0,2.42,0,1.61,143.41,4.83,37.06,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0.57,12.62,56.81,0,1.72,2.87,0,0.57,0,0,0,0,0,0,7.46,0,0.57,6.31,35.58,0.57,0,0,0.57,0,1.72,0,0,91.81,0.57,13.2,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,11.78,71.65,0,0,6.87,0,0,0,0,0,0,0,0.98,5.89,0,0,6.87,14.72,0,0,0,0,0.98,0,0,0.98,73.61,0,6.87,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,7.85,56.94,0.98,0,2.94,0,0,0,0,0,0,0,0,2.94,0,0.98,8.83,25.52,0,0,0,0,0,0.98,0,0.98,42.21,0,4.91,0,0,0,0
 84-94,0,0,0,0,0,0,7.43,74.34,0,0,5.31,0,0,0,0,0,0,1.06,0,4.25,0,0,6.37,12.74,0,0,0,0,0,1.06,0,0,84.96,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,3.28,18.58,153,0,1.09,8.74,2.19,0,1.09,0,0,0,1.09,0,10.93,2.19,0,25.14,26.23,0,1.09,2.19,0,0,2.19,0,0,93.98,0,1.09,2.19,1.09,4.37,0
108-118,0,0,0,0,2.3,1.53,7.66,148.6,0.77,1.53,8.43,3.83,0,0,0.77,0.77,0,8.43,0,15.32,0.77,2.3,25.28,15.32,0.77,0,0.77,0,0,1.53,0,0,94.98,0,3.83,0,0.77,0,0
120,0,0,0,0,5.88,0,5.88,135.23,0,0,9.8,3.92,0,0,0,0,1.96,3.92,0,7.84,0,1.96,43.12,13.72,0,1.96,1.96,0,0,0,0,0,29.4,0,0,0,0,0,0
