stage,blastomeres,eye,fast_muscle,glial,heart,lateral_line,mesenchyme,muscle,neural,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0
 36-46,0,0.81,2.42,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0
 48-58,0,16.07,2.3,0.57,0,0,0,0,4.59,0,0,0,0,0,0,0
 60-70,0,21.59,0.98,1.96,0,0,1.96,0,15.7,0,0,0,0,0,0,0
 72-82,0,14.72,0.98,0,0.98,0.98,2.94,0,24.54,0.98,0,0,4.91,0,0,0
 84-94,0,13.81,1.06,0,0,1.06,2.12,0,13.81,0,0,0,0,0,1.06,1.06
 96-106,0,3.28,1.09,1.09,1.09,0,5.46,0,18.58,0,0,1.09,0,0,2.19,0
108-118,0,6.13,1.53,0,0.77,0.77,4.6,0,29.87,0,0,0,0,0,0.77,0
120,0,1.96,0,3.92,0,0,5.88,1.96,25.48,0,0,0,0,1.96,0,1.96
