stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,7.39,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0,9.67,2.42,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,1.15,0,0.57,0.57,0,0,1.15,0,0,0,0,0,4.02,0.57,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,2.94,0,0,11.78,1.96,0,0,0,1.96,0,0,0,2.94,0,0,0,1.96,0.98,3.93,0
 72-82,0,0,3.93,0.98,5.89,0,1.96,0,5.89,0.98,0,53.01,2.94,0,4.91,0,0.98,0,0,0.98,5.89,0,0,0,9.82,0,14.72,0
 84-94,0,0,1.06,0,6.37,0,0,0,2.12,0,1.06,69.03,1.06,0,1.06,0,2.12,0,0,0,14.87,0,3.19,1.06,7.43,0,13.81,0
 96-106,0,1.09,12.02,0,5.46,1.09,0,2.19,6.56,0,1.09,87.43,0,0,8.74,1.09,1.09,1.09,0,1.09,14.21,0,1.09,1.09,5.46,0,8.74,0
108-118,0,0,0,0,5.36,1.53,0.77,0,2.3,0,0,68.94,1.53,0.77,5.36,0,1.53,0,0,4.6,6.89,0,1.53,0.77,3.06,2.3,6.89,0.77
120,0,0,1.96,0,0,0,0,1.96,1.96,0,0,99.95,1.96,0,1.96,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0
