stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0,1.72,0.57,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,28.46,0,0,0,5.89,0,0,0,2.94,1.96,0
 72-82,0,0,1.96,0,8.83,0,0,0.98,0,0.98,0,0,93.26,0,0,0,2.94,0,0,0,7.85,1.96,0
 84-94,0,0,0,0,8.5,0,0,0,0,0,0,1.06,100.89,0,0,0,2.12,0,0,0,12.74,2.12,0
 96-106,0,0,3.28,0,8.74,2.19,0,4.37,0,0,0,0,93.98,0,0,0,7.65,1.09,0,0,15.3,3.28,0
108-118,0,0.77,0.77,0.77,5.36,0.77,0.77,1.53,0,0,0.77,0,84.26,0,2.3,0.77,3.06,3.06,0,0,31.4,1.53,0.77
120,0,0,3.92,0,3.92,0,0,0,0,0,0,0,94.07,1.96,1.96,1.96,11.76,1.96,0,0,17.64,0,0
