stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,9.44,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,3,2,7,0,0,0,0,0,0,2,0,0,2,1,0,1,21,1,9,1,0,0,0,0,2,0,6,4,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0.82,0,0,0,0,1.64,0,0,1.64,0,0,0.82,23.8,0,71.41,1.64,0,0,0.82,0,0,0,0,3.28,0,0,5.75,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,1.61,0,0,0,89.43,0,85.4,0,0,0,0,0,0,0,0,8.06,0,0,4.03,0,0
 48-58,0,0,0.57,0,0.57,0,9.18,1.15,1.15,0.57,0,0,0.57,0,0,5.74,0.57,0,0.57,110.74,0,55.09,1.72,0,0,0,0,0,0,0,6.31,0,0,4.02,0,1.15
 60-70,0,0,3.93,0,0,0,15.7,0,1.96,1.96,0,0,0,0,0,4.91,0,0,0.98,170.78,0,55.95,1.96,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,20.61,0,1.96,0,12.76,0.98,5.89,11.78,1.96,0,0.98,1.96,0,12.76,2.94,0,0.98,153.14,0,95.22,3.93,0,0,0,0,0,0,0,3.93,0,0,0.98,0.98,0
 84-94,0,0,11.68,0,2.12,1.06,8.5,0,7.43,15.93,1.06,0,0,0,2.12,6.37,1.06,1.06,1.06,95.58,0,105.14,11.68,0,0,1.06,0,0,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,8.74,0,3.28,0,10.93,0,5.46,21.86,0,0,2.19,0,0,12.02,0,0,0,71.04,0,174.86,1.09,0,0,1.09,0,0,0,0,0,1.09,0,5.46,2.19,0
108-118,0,0,6.89,0,2.3,0,7.66,0,3.06,13.02,0,0.77,0,0.77,1.53,6.89,0.77,0.77,0,81.19,0,108,3.83,0,0.77,0,0,0,0,0,0,0.77,2.3,3.83,1.53,0
120,0,0,1.96,0,0,0,3.92,0,9.8,9.8,0,0,1.96,0,1.96,5.88,0,3.92,0,121.51,0,80.35,7.84,0,1.96,0,0,0,0,0,0,1.96,0,9.8,0,0
