stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,0,2,0,0,0,0,0,0,2,0,0,0,0,7,1,8,2,0,1,0,0,0,8,0,4,3,0,0,0,0
 24-34,0,0,0,5.75,0,2.46,0.82,0.82,0,0,0,0,0,0,0,0,0,2.46,1.64,27.91,2.46,0,0.82,0,1.64,0,0,0,0,4.93,0,0,1.64,0
 36-46,0,0,0.81,1.61,0,8.06,0.81,0,0,0.81,0,0,0.81,0,0,0,0,4.03,3.22,36.26,2.42,0,0.81,0,0.81,0,0,0,0,5.64,0,0,0.81,0
 48-58,0,0,0,0.57,0,6.89,0,0,0,1.15,0,0.57,0.57,0,0,0,0,2.3,0.57,13.2,1.15,0.57,0.57,0,1.72,0,0,0,0,5.74,0,0.57,0,0
 60-70,0,0,0,4.91,0,4.91,0,0.98,0,7.85,0.98,0,0,0,0,0,0,3.93,0.98,7.85,0.98,0,0.98,0,3.93,0,0,0.98,0,6.87,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,0.98,0.98,0.98,1.96,0,0,0,0,0,0,3.93,0.98,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,2.12,1.06,3.19,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,6.37,0,1.06,1.06,0,1.06,0,7.43,0,0,0,0,1.06,2.12,0,1.06,0
 96-106,0,0,0,3.28,0,2.19,0,1.09,3.28,7.65,0,0,0,0,0,1.09,0,3.28,0,0,1.09,2.19,1.09,0,2.19,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,9.19,0.77,2.3,0.77,4.6,0.77,1.53,0,0,0,0,0,0,0.77,5.36,1.53,4.6,0.77,0.77,0.77,0,5.36,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
