stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,67.43,355.52,18.39,0,0,0,0,0,0,0,0,0,0,0,0,104.2,12.26,0,0,42.91,12.26,0,0,0,0,0,0
  7-9,47.32,7.89,34.17,0,0,7.89,0,0,0,34.17,0,0,0,0,0,123.55,36.8,0,0,278.64,0,0,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,0,0,0,0,15.73,0,0,0,0,0,31.47,12.59,0,0,113.29,0,0,9.44,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,1,14,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0.57,0,0,6.89,0,0,1.15,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0.98,0,6.87,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0,4.91,0,0,3.93,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,1.06,3.19,0,0,0,0,0,1.06,0,2.12,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0,2.3,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
