stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,7.39,1.64,0,0,0,0,0,0.82,0,0.82,0,0,1.64,21.34,12.31,0,0,1.64,0,2.46,3.28,0,0.82,0,0
 36-46,0,1.61,0,4.03,16.92,0,0,0.81,0,0,0,4.03,0,6.45,0.81,0,3.22,30.62,7.25,0,0,0,0,0.81,4.83,0,0.81,0,0.81
 48-58,0,0,0.57,12.62,6.89,0,1.15,2.87,0,0.57,0,0.57,0,7.46,0,0,8.03,79.76,5.16,0,0,0.57,0,0,4.02,0,1.15,0,0
 60-70,0,1.96,0,53,6.87,0,0.98,5.89,0.98,0,0,1.96,0,16.69,0,0,2.94,232.62,8.83,0,0.98,0.98,1.96,0,4.91,0,1.96,0,0
 72-82,0,2.94,0,94.24,3.93,0,0,4.91,0,0,0,0,0,4.91,0,0,0.98,293.52,10.8,0,0.98,1.96,0,0,7.85,0.98,11.78,0,0
 84-94,0,2.12,1.06,61.6,4.25,1.06,1.06,9.56,0,0,0,1.06,0,11.68,0,2.12,0,182.67,14.87,0,0,1.06,0,0,3.19,0,8.5,0,0
 96-106,0,3.28,0,60.11,1.09,0,0,6.56,0,0,1.09,7.65,1.09,6.56,0,1.09,2.19,135.51,21.86,0,0,1.09,0,0,4.37,0,5.46,1.09,0
108-118,0,2.3,0.77,58.21,3.06,0,0,3.83,0,0.77,0,2.3,0,5.36,0.77,0,0.77,137.11,19.92,0,0,1.53,0,0,0.77,0,4.6,0,0
120,0,1.96,1.96,64.67,0,0,1.96,3.92,0,0,0,3.92,0,5.88,0,0,1.96,190.1,15.68,0,0,0,0,0,1.96,0,5.88,0,0
