stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,32,0,1,1,1,0,1,0,1,0,1,10,0,0,1,0,0
 24-34,0,0,0,10.67,2.46,4.1,0,0,5.75,0,0,1.64,0,2.46,0,0.82,0,0,8.21,1.64,0,5.75,142.01,0.82,3.28,0.82,0,0,0,0,0,0,0.82,44.33,0,0,22.98,0,0
 36-46,0,0,0,1.61,0.81,37.06,0,0,25.78,0,0.81,0.81,0,0,0.81,1.61,1.61,0,14.5,0,0.81,0,235.26,0,0,0,0,0,0,0,0,0.81,0,50.76,0,0,13.7,0,0.81
 48-58,0,0,0,5.74,1.15,100.42,0.57,0,62.54,0,0.57,0.57,0.57,1.15,0,0,0,0.57,12.62,1.72,0.57,1.15,247.88,0,0,1.72,0,0,0,0,0,0,0,58.53,0,0.57,6.89,0,0
 60-70,0,0,0,3.93,3.93,204.16,0,0.98,69.69,0,0.98,0,1.96,0.98,0.98,0.98,0,0.98,38.28,0.98,0,3.93,426.96,0,1.96,0.98,0,0.98,1.96,0,0,0,0,48.09,2.94,0,10.8,0,0
 72-82,0,0,0,2.94,8.83,176.7,0,3.93,54.97,0,1.96,2.94,6.87,1.96,1.96,1.96,0.98,0,35.34,0.98,0,1.96,336.71,0,3.93,3.93,0,1.96,0,0,0,0,0,26.5,0.98,0,21.6,2.94,0
 84-94,0,0,0,6.37,2.12,94.52,4.25,1.06,31.86,3.19,0,0,6.37,5.31,0,0,0,2.12,28.68,1.06,1.06,0,132.75,0,2.12,0,0,0,4.25,0,0,0,0,14.87,4.25,1.06,21.24,0,0
 96-106,0,0,1.09,8.74,10.93,80.87,1.09,2.19,29.51,0,1.09,3.28,2.19,0,0,1.09,1.09,0,28.41,1.09,1.09,1.09,116.93,0,2.19,0,0,0,1.09,0,0,0,0,4.37,3.28,0,16.39,2.19,0
108-118,0,0,0.77,8.43,9.19,52.85,3.06,0.77,25.28,3.06,0,0,8.43,2.3,0,2.3,4.6,0,26.04,0,1.53,1.53,104.17,0,0.77,0.77,0,0,0,0,0,0,0,7.66,8.43,0,16.09,0,0.77
120,0,0,0,11.76,7.84,52.91,3.92,1.96,21.56,0,0,3.92,15.68,1.96,0,1.96,5.88,1.96,33.32,0,1.96,1.96,152.86,0,0,0,0,0,0,1.96,0,0,0,5.88,3.92,0,9.8,0,0
