stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,84.12,5.26,0,0,28.92,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,8,2,0,0,0,2,2,1,9,5,0,2,0,0
 24-34,0,0,0,0,3.28,1.64,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,7.39,0,0,4.1,18.06,0.82,0,2.46,0,3.28,0,0,3.28,4.93,0,1.64,0,0
 36-46,0,0,0,0,3.22,0.81,0.81,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,17.72,0.81,0,7.25,8.86,0.81,0.81,0.81,0,4.03,1.61,0,0,2.42,0,0,0,0.81
 48-58,0,0,0,0,0,2.3,0.57,0,0,1.15,0,0,0,0,0,0,0,0,1.15,15.49,0,0.57,1.15,2.87,0,1.15,1.15,0,2.3,0,0,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,3.93,0,0.98,0.98,0.98,4.91,0,0,0,0.98,0,0.98,0,0,0,31.41,0,0,0,4.91,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,29.45,0.98,0,2.94,9.82,0,0.98,0,0,2.94,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,0,6.37,3.19,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0,2.12,25.49,0,0,1.06,2.12,2.12,1.06,1.06,0,8.5,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,2.19,3.28,1.09,0,0,1.09,0,0,0,0,3.28,1.09,1.09,1.09,0,29.51,1.09,0,3.28,4.37,0,0,0,0,6.56,0,0,0,0,1.09,3.28,2.19,2.19
108-118,0,0,0,0,3.06,1.53,0,0,0,0.77,2.3,0,0.77,0,0.77,0,2.3,0,0.77,19.15,0.77,0,0.77,4.6,0,0,0.77,0,4.6,0,0,0,0,0,3.06,0.77,1.53
120,0,0,0,0,7.84,0,1.96,0,0,3.92,0,0,0,1.96,0,1.96,1.96,0,0,21.56,0,0,7.84,1.96,0,1.96,0,0,3.92,0,0,0,0,0,1.96,0,5.88
