stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,65.89,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0
  5-6,30.65,79.69,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,355.52,0,0,0,0,0
  7-9,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,26.29,94.63,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,59.79,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,18,0,0,15,0,0,0,1,2,0,1,4,0,0,0,0,310,0,0,3,0,0
 24-34,0,0,0,0,6.57,0,0,0.82,1.64,0,0,55.82,0,0,80.44,0,0.82,0,3.28,29.55,0,1.64,89.47,0,0.82,0,0,177.3,9.85,0,5.75,0,0.82
 36-46,0,0,0,0,1.61,0,0,2.42,0,0,0,16.92,0,0.81,35.45,0,0,0,1.61,20.95,0,0.81,93.46,0,0,0,0,78.96,4.83,0,4.03,0,0.81
 48-58,0,0,0,0,4.02,0,0,3.44,1.15,2.3,0,35.58,0,0,16.07,0,0,0.57,1.15,16.64,0,0,48.77,0,0,0,0,65.41,1.15,0,3.44,0,0
 60-70,0,0,0,0,6.87,0,0,1.96,1.96,0,0.98,15.7,0,0,22.58,0,0.98,0,2.94,9.82,0,0,19.63,0,0.98,0,0,79.5,0.98,0,1.96,2.94,0.98
 72-82,0,0,0,0,2.94,0.98,0,1.96,2.94,0.98,9.82,8.83,0,0,40.25,0,0,0,4.91,19.63,1.96,0.98,25.52,0,0,0.98,0,79.51,0,0,0,20.61,0.98
 84-94,0,0,0,0,12.74,0,0,3.19,9.56,0,7.43,13.81,1.06,0,53.1,0,2.12,0,2.12,20.18,0,1.06,40.36,0,3.19,0,0,190.1,0,0,0,46.73,0
 96-106,0,0,1.09,0,22.95,1.09,0,3.28,10.93,1.09,32.79,1.09,0,1.09,104.91,0,7.65,3.28,4.37,33.88,1.09,0,29.51,0,6.56,0,0,253.54,3.28,0,0,137.7,1.09
108-118,0,0,0.77,0,19.15,1.53,0.77,1.53,13.02,0.77,33.7,0,0,0.77,66.64,0.77,3.06,3.06,3.06,13.79,0,0.77,22.98,0,2.3,0,0,146.3,0.77,0.77,0,120.26,0.77
120,0,0,0,0,11.76,0,0,5.88,9.8,0,19.6,0,0,0,39.2,0,1.96,0,1.96,7.84,0,0,15.68,0,1.96,0,0,154.82,0,0,0,45.08,0
