stage,blastomeres,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,13,0,0,0,1,2,1,0
 24-34,0,0,1.64,0.82,0,0,0,0.82,6.57,0,0,0,0,0,0.82,0
 36-46,0,0,2.42,0,0.81,0,1.61,0,6.45,0,0,0,0,0,1.61,0
 48-58,0,0,2.3,0,0,0,0.57,0.57,4.02,0,0,0,0,0,2.3,0
 60-70,0,0,4.91,0,0,0,0.98,0,6.87,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,0,8.5,1.06,0,1.06,0,0,1.06,0
 96-106,0,1.09,4.37,0,3.28,0,0,0,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0,0.77,0.77,0.77,3.83,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0
