stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,67,30,0,0,0,1,0,0,0,37,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,2.46,0.82,0,0.82,0,1.64,0,0,0,31.19,0,0,0,0.82,0.82,0,0,0.82,14.78,0.82,0,0,0.82,0.82,0,0.82,1.64,0,0,0,0
 36-46,3.22,0,0,1.61,0,0,0,0.81,0,62.04,0,0,0,0.81,0.81,0,0,2.42,18.53,0,0,0,2.42,0,0.81,0,3.22,0,0,0,0
 48-58,2.87,0,0,10.9,0,2.87,0,1.72,0,55.09,0,0,0,0,3.44,0,0,1.15,21.23,0,0,0,0.57,0,0,0,4.02,0,0,0,0.57
 60-70,8.83,0,0,9.82,0,6.87,3.93,0.98,0,72.63,0,0,0,0,7.85,0,0.98,0,19.63,0,0,0,0.98,0,0,0,2.94,0,0,0,0.98
 72-82,6.87,0.98,0,8.83,1.96,1.96,0,0,0,91.29,0,0,0,0.98,3.93,0,0.98,0.98,21.6,0,0.98,0,3.93,0,0,0,1.96,0,0.98,0.98,0.98
 84-94,9.56,0,0,6.37,0,8.5,3.19,1.06,2.12,128.51,1.06,0,0,1.06,3.19,0,1.06,0,12.74,0,0,0,2.12,0,0,0,1.06,1.06,0,0,0
 96-106,43.71,4.37,0,7.65,0,22.95,1.09,3.28,4.37,151.91,1.09,1.09,1.09,1.09,6.56,1.09,1.09,1.09,25.14,0,1.09,3.28,8.74,0,0,0,1.09,2.19,0,0,0
108-118,44.43,0,2.3,9.96,0,40.6,3.06,6.13,6.89,134.04,0.77,0,0,0,11.49,0,1.53,2.3,17.62,0,0,0.77,3.06,0,0,0,0,0,0,0.77,0
120,17.64,0,0,0,1.96,27.44,0,7.84,5.88,137.18,0,0,1.96,0,5.88,0,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0
