stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,6.57,0,0,0,68.95,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.83,0,0,0,41.89,0,2.42,0,0,2.42,0
 48-58,0.57,0,0.57,0,0,0,0.57,0,0.57,0,0.57,0,0,0.57,0.57,0,0,3.44,0,0,0,40.74,0,2.3,0,0,0,0
 60-70,3.93,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0,1.96,0,0,4.91,0,0,0,64.78,0,0,0.98,0,0,0
 72-82,10.8,0.98,2.94,0.98,3.93,0.98,1.96,0,0,0,0,0,0,0,0.98,0.98,0,9.82,0,0,0,90.31,0,0.98,0,0.98,0,0
 84-94,10.62,0,1.06,0,4.25,0,0,0,0,0,2.12,0,0,0,1.06,0,0,3.19,0,0,0,168.86,0,0,0,0,0,0
 96-106,17.49,0,4.37,0,5.46,0,2.19,1.09,0,0,2.19,1.09,0,0,1.09,3.28,1.09,5.46,0,0,0,153,0,0,0,0,0,0
108-118,19.15,0,1.53,0,2.3,0,1.53,0.77,0,0,2.3,0,0.77,0,0.77,0,0,3.83,1.53,0,0,85.02,0,0,1.53,0,0,0.77
120,21.56,0,0,0,7.84,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,1.96,0,1.96,0,92.11,0,0,1.96,0,0,0
