stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,10.51,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,84.97,0,0,0,15.73,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,0,1,0,2,0,1,0,0,0,1,0,3,0,0,1,30,1,0,1,2,0,3,0,3,15,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,4.93,0,0.82,0.82,2.46,0,0,0,0.82,0,0.82,0,6.57,0.82,0,0.82,72.24,0,0,0,0,0,0,0.82,0,25.45,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,17.72,0,0.81,0,7.25,0,0,0,0,0,0,0.81,8.86,0,0,0.81,104.74,0,0,0,0,0,0,0,0,38.67,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,16.07,0,0,0,8.61,0,0,0,0,0,0,0.57,9.75,0,0.57,1.15,78.61,0.57,0,0.57,0,0,0,0.57,0,22.95,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,43.19,0,0,0,26.5,0,0,0.98,0.98,0,0,0,12.76,0,0.98,0,87.36,0,0,0.98,0,0,0,0,0,11.78,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0,27.49,0,0,0,22.58,0,0,0,0,0,0,0,13.74,0,0,0.98,96.2,0,0,0.98,0,0,0,0,0,8.83,0,0.98,0,0.98,0
 84-94,0,0,0,0,2.12,0,24.43,1.06,0,2.12,12.74,0,0,0,0,0,2.12,1.06,10.62,0,0,1.06,61.6,0,1.06,1.06,0,0,0,0,0,2.12,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,2.19,0,26.23,0,0,1.09,26.23,1.09,0,0,2.19,1.09,0,0,9.84,0,1.09,0,42.62,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,0.77,0.77,5.36,0.77,0,0,9.96,3.06,0,0,2.3,1.53,1.53,0,6.89,0,0,0.77,36.77,0,0.77,0.77,0,0.77,0,0,0,0.77,0.77,0,1.53,0,0
120,0,0,1.96,0,0,0,5.88,0,0,0,5.88,0,0,1.96,1.96,0,1.96,0,1.96,0,0,1.96,41.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
