stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,76.23,2.63,0,21.03,2.63,0,0,0,0
 10-12,0,3.15,6.29,0,9.44,0,0,66.09,3.15,0,37.76,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0.82,1.64,6.57,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,0.57,0,1.72,0.57,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
