stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,22.03,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,13,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,10,25,11,0,0,1,0,1,12,0,3,14,11,0,0,0,0,0
 24-34,0,0,0,6.57,3.28,0,8.21,0,1.64,1.64,0,0.82,0,1.64,0,2.46,0,0.82,0,0,29.55,0,0,14.78,27.09,26.27,0.82,2.46,0,0,4.93,0,0.82,2.46,4.93,5.75,0,0,1.64,0,0
 36-46,0,0,0,6.45,8.06,0,3.22,6.45,0.81,0.81,0.81,0,0,0,0,0,0,0.81,0,0,45.92,0,0,7.25,17.72,40.28,0.81,2.42,0,0,0.81,0,0,4.03,0,2.42,0,0,0,0,0
 48-58,0.57,0,0,4.59,14.35,0,4.59,1.72,1.72,5.16,1.72,0,0,0,0,0,0,0.57,0,0,67.71,0,0,9.75,26.4,31.56,0.57,2.87,0,0,1.15,0,0,1.15,0,6.31,0,0,1.15,0,0.57
 60-70,0,0,0,5.89,10.8,0,10.8,4.91,3.93,0.98,3.93,0.98,0,0,0,0,1.96,0.98,0,0,115.82,0,1.96,7.85,20.61,39.26,0,2.94,0,0,0,0,0,2.94,0,5.89,0,1.96,0.98,0,0
 72-82,0,0,0,2.94,96.2,0,24.54,5.89,1.96,2.94,11.78,0,0,1.96,0.98,0.98,0,0.98,0.98,0,175.72,0,2.94,10.8,32.39,27.49,0,6.87,0,0,1.96,0,0,0.98,0,2.94,0.98,0.98,2.94,0,0
 84-94,0,0,0,12.74,70.09,0,24.43,2.12,6.37,1.06,13.81,1.06,1.06,1.06,0,1.06,2.12,1.06,0,1.06,132.75,0,1.06,7.43,14.87,43.54,0,10.62,0,0,4.25,0,0,3.19,0,2.12,0,2.12,1.06,4.25,0
 96-106,0,0,0,8.74,104.91,0,30.6,2.19,1.09,1.09,21.86,2.19,0,2.19,0,0,1.09,1.09,1.09,0,139.88,0,5.46,6.56,14.21,21.86,5.46,12.02,0,1.09,8.74,0,3.28,5.46,0,0,0,3.28,5.46,4.37,0
108-118,0,0,0,26.04,36.77,2.3,30.64,9.19,9.19,5.36,19.15,3.06,0,0,0,3.06,5.36,2.3,0,0.77,153.96,0.77,3.06,11.49,29.11,27.57,1.53,15.32,0,0.77,6.89,0,0,14.55,0,1.53,0.77,0.77,4.6,0,0
120,0,0,0,31.36,48.99,1.96,29.4,3.92,17.64,1.96,29.4,1.96,0,5.88,0,5.88,1.96,1.96,0,0,162.66,0,0,7.84,29.4,37.24,1.96,19.6,0,1.96,17.64,0,0,7.84,0,1.96,0,1.96,7.84,3.92,0
