stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,57.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,24,1,0,1,0,2,0,0,2,0,0,0,1,0,2,0,4,1,0,0,25,0,1,0,0,0,278,1,44,0,2,4,0,0,0,0,0
 24-34,0,0,0.82,5.75,95.22,0,0,4.1,0,28.73,0,0.82,5.75,0.82,0,0,4.93,0,0,0.82,7.39,10.67,0,3.28,64.03,1.64,0.82,0.82,0,0,815.93,0,68.95,0,0,14.78,0,0,1.64,0,0
 36-46,0,0,0,0,50.76,0,0,9.67,0,41.89,0,1.61,5.64,0,0.81,0,0,0,0.81,0.81,6.45,12.09,0,0,58.01,0,0.81,0,0,0,713.02,0,27.39,0,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,79.76,0.57,0,18.94,0,68.86,0,3.44,1.72,0.57,0,0,2.3,0,0,1.15,3.44,10.33,0,0,39.02,0,0,0,0,0,529.05,0,12.05,0,0,11.48,0,0,0.57,0,0.57
 60-70,0,0,0,0,123.67,0,0,22.58,0,72.63,1.96,3.93,12.76,0,0,0,2.94,0,0.98,0,4.91,11.78,0.98,0,41.22,0,0,0.98,0,0,477.02,0,12.76,0,0,8.83,0,0,0,0,0
 72-82,0,0,0,0,210.08,0,0,19.63,0,71.66,0,6.87,40.25,0,0,0.98,8.83,0.98,0,0,3.93,33.38,0,0.98,42.21,0,2.94,0,0,0,470.22,0,15.71,0.98,0,0.98,2.94,0,0,0,0.98
 84-94,1.06,0,0,3.19,455.61,1.06,0,19.12,0,155.06,0,3.19,127.44,0,1.06,1.06,35.05,1.06,1.06,0,8.5,54.16,0,2.12,16.99,0,0,1.06,0,0,1438,0,48.85,0,0,2.12,28.68,1.06,2.12,0,2.12
 96-106,0,0,0,9.84,554.07,1.09,1.09,19.67,2.19,159.56,0,7.65,171.58,0,0,0,39.34,3.28,3.28,0,14.21,50.27,0,0,44.81,0,5.46,1.09,0,0,1248.03,0,33.88,0,0,2.19,24.04,0,4.37,0,1.09
108-118,0,0,0.77,13.02,543.83,0,0.77,12.26,0,199.92,0.77,9.19,202.21,0,0,0,42.89,3.06,8.43,0,7.66,42.89,0,2.3,30.64,0.77,0.77,1.53,0,0.77,1095.33,0,37.53,0,0,1.53,40.6,0.77,0,1.53,0
120,0,0,0,3.92,325.32,0,0,3.92,0,105.83,0,7.84,50.95,0,1.96,0,19.6,0,1.96,0,3.92,25.48,0,1.96,37.24,0,0,3.92,0,0,597.73,0,21.56,0,0,0,13.72,0,0,0,0
