stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,0,0,95,0,0,0,0,0,35,0,1,1,12,1,176,0,0
 24-34,0,0,0,0,1.64,0,89.47,0,0,0,0,0,18.06,8.21,2.46,0,13.13,0,146.93,0,0
 36-46,0,0,0,0,0.81,0,16.11,0,0,0,0,0.81,18.53,7.25,1.61,0,8.06,0.81,77.34,0,0
 48-58,0,0,0.57,0,1.15,0,16.07,0,0.57,0,0,0,6.31,3.44,0,0,4.02,0,43.04,0,0.57
 60-70,0.98,0,0,0,0.98,0,23.56,0,0.98,0,0,0,9.82,6.87,0.98,0,2.94,0,24.54,0,0
 72-82,3.93,0,0.98,0,1.96,0,45.16,0.98,3.93,0,0,0.98,6.87,7.85,0,0,1.96,0,15.71,0,0
 84-94,1.06,0,0,0,0,0,30.8,0,3.19,0,0,0,3.19,20.18,1.06,0,7.43,0,22.3,0,0
 96-106,0,0,0,1.09,1.09,0,33.88,0,2.19,0,1.09,0,6.56,16.39,2.19,0,5.46,0,12.02,0,0
108-118,0.77,0.77,0.77,0,0,0.77,29.87,0,4.6,0,0,0,3.06,16.09,0.77,0,5.36,0,11.49,0.77,0
120,1.96,1.96,0,0,1.96,0,9.8,0,0,1.96,0,0,5.88,5.88,1.96,0,1.96,0,9.8,1.96,0
