stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,56.65,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,5,40,315,0,9,0,0,0,52,0,0,6,0,0,0,0,12,53,0,0,21,295,4,1,9,6,0,0,1,9,103,27,254,199,0,0,2,0,0
 24-34,0,1.64,0,16.42,129.7,0,31.19,0,2.46,0,49.25,0,0,21.34,0,0.82,0,0,9.03,45.15,0,0,12.31,420.28,0.82,8.21,15.6,0,0,1.64,0,0,30.37,4.1,59.92,230.66,0,0,5.75,0,0
 36-46,0,0,0,8.86,4.03,0,33.03,0,0,0,43.51,0,0,17.72,0,0,0,0,2.42,31.42,1.61,2.42,10.47,519.66,0,5.64,8.06,0,0,0.81,0,0,13.7,1.61,1.61,167.58,0,0,4.03,0,0
 48-58,0,0,0,15.49,8.61,0,60.25,1.15,0,1.15,47.63,0,0,8.61,0,0.57,0.57,0,0,42.46,0,1.15,8.61,459.62,0,7.46,12.62,0,0,0.57,0,0,2.87,1.15,0,117.63,0,0,0.57,0,0.57
 60-70,0,0,0,11.78,11.78,0,102.08,1.96,0.98,0.98,31.41,0,0,2.94,0,0,0.98,0,0,29.45,0,1.96,3.93,523.15,0,5.89,15.7,0,0.98,0.98,0,0,3.93,2.94,0,59.87,0,1.96,0,0,0
 72-82,0,3.93,0,10.8,62.83,0,243.45,0.98,0,2.94,41.23,0,0,0,1.96,0,1.96,1.96,0.98,83.44,0,0,4.91,502.61,0,6.87,31.41,0,1.96,0,0,0,4.91,0,0,37.3,0,11.78,1.96,0,1.96
 84-94,0,0,2.12,16.99,42.48,0,151.87,1.06,1.06,0,27.61,2.12,0,3.19,0,0,9.56,1.06,0,58.41,0,1.06,6.37,268.7,0,8.5,7.43,0,2.12,1.06,0,0,9.56,4.25,0,30.8,0,6.37,2.12,1.06,0
 96-106,0,4.37,0,16.39,75.41,1.09,159.56,1.09,1.09,0,26.23,1.09,0,0,0,0,5.46,0,1.09,63.39,0,1.09,3.28,204.36,1.09,7.65,30.6,0,0,3.28,0,0,13.11,1.09,0,10.93,0,4.37,0,3.28,0
108-118,0,1.53,0,14.55,73.53,0,134.04,0.77,0.77,0.77,26.04,1.53,0,0,0,0,13.02,3.06,3.06,45.96,0,0.77,3.06,334.73,0,9.19,19.92,0,0.77,0.77,0,0,13.02,0,0,16.85,1.53,2.3,0.77,2.3,0
120,0,0,0,11.76,84.27,0,80.35,1.96,0,0,9.8,0,0,0,0,0,3.92,0,1.96,39.2,0,1.96,0,248.89,0,1.96,15.68,0,0,3.92,0,0,3.92,0,0,19.6,1.96,3.92,0,1.96,0
