stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,275.83,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,36.78,0,0,0,18.39,0,6.13,0,0,0,0,0
  7-9,2.63,5.26,0,15.77,0,0,21.03,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,92,5.26,0,0,47.32,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,3.15,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,28.32,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,1,0,0,1,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,13.13,0.82,0,0,0,0,0.82,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,15.31,0,0.81,0,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,0.57,0,6.31,0,0,0,2.3,0,0,0.57,0,0,0.57,0,0,4.02,1.15,0,12.05,0,0.57,0.57,0,0,0,0,0,5.16,0.57,0
 60-70,0,0,0,0,1.96,0,6.87,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0.98,9.82,0,0,2.94,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,7.85,0,0,7.85,0,0,4.91,0,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,2.12,0,1.06,0,0,0,0,0,1.06,0,0,0,0,2.12,1.06,2.12,1.06,0,5.31,0,0,11.68,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,1.09,3.28,1.09,0,0,0,0,0,1.09,0,3.28,0,1.09,5.46,0,0,15.3,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,0,1.53,0.77,1.53,0,0,0.77,2.3,0,0,0,0.77,0,0,0,0,4.6,0,1.53,8.43,0,0,9.96,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,1.96,5.88,0,0,3.92,0,1.96,7.84,0,0,1.96,0,0,1.96,1.96,0
