stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,20,4,0,11,0,2,2,0,0,0,1,0,0,0,0,6,0,9,141,14,0,1,1,0,4,0,14,0,0,16,77,0,0,2,0
 24-34,0,8.21,0.82,0,32.83,0,6.57,0.82,0,0,1.64,0,0.82,0,0,1.64,24.63,0,8.21,225.74,9.03,0.82,1.64,0,0,4.1,0,0,0.82,0,1.64,57.46,0,0,2.46,0.82
 36-46,0,4.03,1.61,0,51.56,0.81,11.28,0,0,0,0,0,0,0,0,0,20.95,1.61,7.25,131.32,2.42,0.81,0.81,0,0.81,0.81,0,0,0,0,0,39.48,0,0,2.42,4.03
 48-58,0,2.87,0,0,49.92,1.72,12.05,0,0,0.57,0,0,0,1.15,0,1.15,21.8,1.15,3.44,84.35,0.57,0,1.15,0,0,1.15,0,0,0,0.57,0,26.97,0,0,2.3,0
 60-70,0,2.94,0,0,13.74,0,8.83,1.96,0,0,0,0,0,0,0.98,0,15.7,0.98,1.96,26.5,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0.98,0
 72-82,0,1.96,1.96,0,33.38,1.96,16.69,0.98,0,0.98,0,0.98,0.98,0.98,0,0,16.69,0,5.89,50.06,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,1.96,0,0,1.96,0.98
 84-94,0,3.19,0,0,11.68,0,4.25,0,0,0,0,0,0,0,0,1.06,16.99,0,0,18.05,1.06,0,0,0,0,0,0,0,0,0,0,4.25,0,1.06,1.06,4.25
 96-106,0,3.28,0,0,24.04,2.19,21.86,0,0,0,3.28,0,0,2.19,0,0,12.02,0,1.09,24.04,1.09,0,2.19,0,0,4.37,0,0,0,0,0,1.09,0,0,0,2.19
108-118,0,0,0,0.77,9.96,0,6.89,0,0,0.77,0.77,0,0.77,0,0,1.53,6.13,0,0.77,15.32,0,0.77,0.77,0,0,1.53,0,0,0,0,0,0,0,0,0.77,0.77
120,0,5.88,1.96,0,11.76,0,3.92,1.96,0,0,5.88,0,0,0,0,0,3.92,0,3.92,21.56,0,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,1.96
