stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,18,0,0,0,0,0,0,2,2,5,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,1.64,1.64,0,0,0,0.82,0,0,0.82,0,0,58.28,0,0,4.1,0,0,0,0,0,14.78,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,4.83,0,0,0.81,0,0,0,0,1.61,0,0,5.64,0,0,144.21,0,0,3.22,0,0.81,0,0,0,16.11,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,55.66,0,0,1.72,0,0,0,0,1.72,0.57,0,11.48,0.57,1.72,252.47,0,0.57,6.31,0,1.15,0,0,0,33.85,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,265.99,0,0,6.87,0,0,0,0,3.93,0,0.98,26.5,0,0.98,658.6,0.98,0.98,5.89,0,1.96,0,0,0,59.87,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,1.96,309.22,0,1.96,13.74,0,0,0.98,0.98,0.98,0.98,0,31.41,0,3.93,543.84,0,0,18.65,0,1.96,0,0,0,36.32,0,1.96,0,0,0.98
 84-94,0,0,0,0,8.5,1.06,226.21,2.12,0,9.56,0,0,2.12,0,2.12,0,1.06,26.55,0,3.19,288.87,0,0,26.55,0,1.06,0,0,0,19.12,0,1.06,0,1.06,0
 96-106,0,0,0,0,6.56,0,161.74,0,2.19,12.02,0,0,1.09,0,3.28,1.09,0,19.67,4.37,3.28,219.66,0,1.09,34.97,0,2.19,0,0,0,14.21,0,0,0,0,0
108-118,0,0,0,0,5.36,0,125.62,0.77,0,9.19,0,0,0.77,0.77,3.83,0,2.3,20.68,3.83,1.53,263.49,0,0,30.64,0,0,0,0,0,3.83,0.77,0,1.53,1.53,0
120,0,0,1.96,0,11.76,0,129.35,3.92,0,9.8,1.96,0,0,0,1.96,0,0,11.76,7.84,3.92,286.13,0,0,21.56,0,1.96,0,0,0,11.76,0,0,0,1.96,0
