stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,2,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0.82,0.82,0.82,27.91,0,0.82,5.75,0.82
 36-46,0,0,4.83,0,0,0,0,12.89,0,0,1.61,0
 48-58,0.57,0,7.46,1.15,0,2.3,0,2.87,0.57,0,0.57,0
 60-70,0,0,2.94,0.98,0,0.98,0.98,5.89,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,3.19,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,3.92,0,0,0,0
