stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,514,1,0,1,0,0,4,2,0,0,0,0,0,0,0,2,2,0,3,33,1,0,6,0,1,2,3,4,1,6,18,0,0,0,0,0
 24-34,0,0,0,0,352.15,0,0,6.57,4.1,0.82,2.46,0,0.82,0,0,0,5.75,0,0.82,12.31,3.28,0,4.1,67.31,0,0.82,4.1,0,2.46,0,0,1.64,0,1.64,32.01,0,0,1.64,0,0
 36-46,0,0,0,0,129.71,0.81,0,9.67,2.42,0.81,9.67,0,0,1.61,0,0,12.09,0,0,10.47,0.81,0,3.22,68.48,0.81,0.81,0.81,0,0,0,0,0.81,0,0,14.5,0,0,0,0,0
 48-58,0,0,0,0,14.35,0,0,12.05,2.87,8.03,8.03,0,0,0,0,0,4.02,0,0,35,0,0.57,2.3,31.56,0,0.57,1.15,0,2.3,0,0,0.57,0,0,9.18,0,0,0,0,1.72
 60-70,0,0,0,0.98,5.89,0,0,5.89,0,9.82,13.74,0,0,0.98,0,0,1.96,0,0,116.8,0,0,7.85,24.54,0,0.98,0,0,0.98,0,0,0,0,0,12.76,0,1.96,0,0,0
 72-82,0,0,1.96,0,1.96,0,0,33.38,0,17.67,20.61,3.93,0,2.94,0.98,0,3.93,0,0,307.26,0,4.91,4.91,28.47,0,0,0.98,0,0,0,0,0,0,0,2.94,0.98,9.82,0,0,0
 84-94,0,0,0,0,5.31,1.06,0,33.99,0,16.99,11.68,2.12,0,3.19,0,1.06,1.06,0,0,213.47,0,0,7.43,26.55,0,0,0,0,1.06,1.06,0,1.06,0,0,6.37,0,1.06,0,0,0
 96-106,0,0,2.19,0,16.39,1.09,0,31.69,2.19,18.58,13.11,8.74,0,3.28,1.09,0,1.09,1.09,0,352.99,0,0,3.28,44.81,1.09,0,2.19,0,0,0,0,0,0,0,2.19,0,1.09,5.46,1.09,0
108-118,0,0,0.77,1.53,7.66,0,0.77,31.4,0.77,20.68,15.32,4.6,0,1.53,0,0,3.06,0.77,0,350.05,0,0.77,7.66,36,0,0,0,0,1.53,0,0,0.77,0,0,1.53,0,0.77,3.06,0,0
120,0,0,0,0,9.8,1.96,1.96,19.6,0,29.4,9.8,5.88,0,9.8,0,0,0,0,0,276.33,0,3.92,5.88,13.72,0,0,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0
