stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,15,3,6,0,0,0,0,2,0,0,0,0,0,6,0,0,6,48,1,1,4,2,0,3,9,2,2,10,18,0,0,0
 24-34,0,0,6.57,1.64,9.03,0,0,0,4.1,0,0,0,0,0,0,6.57,0,0,4.1,107.53,2.46,4.1,2.46,0,0,4.1,0,0,0,1.64,31.19,0.82,0,0.82
 36-46,0,0,3.22,0,12.89,0,0,0.81,5.64,0.81,0,0.81,0,0,0,4.83,0,0.81,4.03,118.43,0,2.42,0,0,0,5.64,0,0,0,0,20.14,0,0,0
 48-58,0,0,0.57,0,12.05,0.57,0,0,5.74,0,0,0,0,0,0,2.3,0,0,1.72,88.94,0.57,2.3,0,0,0,2.87,0,0,0,0,19.51,0,0,0.57
 60-70,0,0,0,0,26.5,0,0.98,0,11.78,0,1.96,0,0,0,1.96,5.89,0,0,0,82.45,0.98,3.93,0.98,0,0,2.94,0,0,0,0,12.76,0,0,0
 72-82,0,0.98,2.94,0,23.56,0,0.98,0,9.82,0,0.98,0,0,0.98,0,12.76,0,1.96,1.96,42.21,0.98,2.94,3.93,0,0.98,4.91,0,0,0,0,4.91,1.96,0,0
 84-94,0,0,2.12,0,8.5,0,0,0,9.56,1.06,1.06,0,0,1.06,0,2.12,0,0,0,26.55,1.06,2.12,2.12,0,0,10.62,0,0,0,0,8.5,1.06,1.06,0
 96-106,0,0,6.56,1.09,13.11,0,3.28,0,8.74,1.09,0,1.09,0,3.28,1.09,9.84,1.09,0,3.28,18.58,2.19,10.93,3.28,0,0,10.93,0,0,0,0,3.28,3.28,0,1.09
108-118,0,0,7.66,0,6.89,0,1.53,0,9.19,0.77,0.77,0,0.77,0,0,9.96,0,0,1.53,21.45,0.77,3.83,0.77,0,0.77,12.26,0,0.77,0,0,0.77,0.77,0,0
120,0,0,1.96,0,11.76,0,1.96,0,7.84,0,0,0,0,0,0,5.88,0,0,0,9.8,1.96,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0
