stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,4,21,0,0,0,0,1,9,0,5,9,0,1
 24-34,0,0,2.46,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,4.1,22.16,0,0.82,0,0,1.64,0,0.82,0.82,9.03,0,0
 36-46,0,0,0.81,0,0.81,0,0,1.61,0,0,5.64,0.81,0,0,0,0,1.61,0,0,0.81,13.7,0,0,0.81,0,2.42,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,3.44,0.57,0.57,0,0,0,1.15,0,0,0,17.79,0,0,0.57,0,0.57,0,0,0,3.44,0,0
 60-70,0,0,0,0,17.67,0,0,0,0,0,10.8,0.98,0,0,0,0.98,0.98,0,0,0,89.32,0,0.98,0,0,0,0,0,0,8.83,0,0
 72-82,0,0,0.98,0,20.61,0,0,3.93,0.98,0,21.6,0.98,0,0,0,0,1.96,1.96,0,0,47.12,0,0,0,0,0,0,0,0,7.85,0.98,0
 84-94,0,1.06,3.19,1.06,18.05,0,0,1.06,2.12,0,20.18,0,0,0,0,0,4.25,0,1.06,0,16.99,0,0,0,0,5.31,0,0,0,0,0,1.06
 96-106,0,0,6.56,2.19,15.3,0,0,0,2.19,0,17.49,2.19,0,3.28,1.09,0,2.19,0,1.09,0,20.76,0,1.09,0,0,3.28,0,0,0,0,0,0
108-118,0,0,3.83,0,3.83,0,0,1.53,1.53,0,10.72,0.77,0.77,0,1.53,0,0,0,0,0,16.09,0,0,0.77,0,3.83,0,0.77,0,0,0.77,0
120,0,0,11.76,0,7.84,1.96,0,0,1.96,0,21.56,0,0,1.96,0,0,1.96,0,0,0,9.8,0,0,0,0,1.96,0,0,0,1.96,1.96,0
