stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,6.45,0,0,0,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,8.61,0,0,0,0,0.57,0,0,16.64,0,1.15,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,54.97,0,3.93,0,0,0,0,0,71.65,0,0,0,0,0,0,0,31.41,0,0,0
 72-82,0,0,0,0,107.98,0,8.83,0,0,0.98,0,0,73.62,0,0,0,1.96,0,0,0,24.54,0,0,0
 84-94,0,0,0,0,66.91,1.06,5.31,0,0,1.06,0,1.06,50.98,1.06,1.06,0,0,0,0,0,12.74,1.06,0,0
 96-106,0,0,3.28,0,91.8,0,9.84,0,0,2.19,0,0,43.71,0,0,0,0,1.09,1.09,0,9.84,0,1.09,1.09
108-118,0,0,0,0,92.68,0,9.96,1.53,0.77,0,0,0.77,49.79,0,0,0,0,0,0,0,7.66,0,0,0
120,0,0,0,0,72.51,0,9.8,0,0,1.96,1.96,1.96,45.08,0,0,0,0,0,0,0,13.72,0,0,0
