stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
 24-34,0,0,0,0.82,0,27.09,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,3.28,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,26.59,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,50.49,0,0,0,0,0,0,0,0,0,0,1.15,0,0,5.16,0,0,1.15,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,76.56,0,0,1.96,0,0,0,0,0.98,1.96,0.98,1.96,0,0,7.85,0,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,81.48,0,0,0.98,0,0,0,0,0,6.87,0,6.87,1.96,0.98,16.69,0,0,13.74,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,0,1.06,2.12,170.99,0,0,1.06,1.06,0,1.06,1.06,3.19,8.5,1.06,5.31,0,0,11.68,0,0,64.78,0,1.06,0,0,1.06,1.06,2.12
 96-106,0,1.09,0,3.28,5.46,170.48,0,2.19,3.28,1.09,0,0,0,7.65,30.6,0,5.46,1.09,0,26.23,1.09,0,240.43,0,0,0,2.19,0,0,1.09
108-118,0,0,0,10.72,0.77,202.21,1.53,0.77,3.06,1.53,0,0,1.53,7.66,40.6,3.06,5.36,1.53,0.77,22.21,0,0,121.02,0,0,0,0.77,0,1.53,1.53
120,0,0,0,1.96,1.96,92.11,0,3.92,5.88,0,0,0,0,0,17.64,1.96,5.88,0,1.96,15.68,0,0,52.91,0,0,0,0,0,0,0
