stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,2,0,0,1,5,0,0,2,0,0
 24-34,0,0,0,9.03,0.82,0,6.57,0,0,0,0.82,0,0,4.93,0,0,0,0,0.82,0,14.78,0,0.82,7.39,21.34,1.64,0.82,0,0,0,0,0,0,0,1.64,0.82,9.85,0,0,4.93,0,0
 36-46,0,0,0,12.89,0,0,1.61,0,1.61,1.61,0,0,0,16.92,0,0,0,0.81,0,0,43.51,0,2.42,10.47,3.22,0,0,0,0,0.81,0,0,0,0,0,0,5.64,0,0.81,2.42,0,0
 48-58,0,0,0,16.64,0.57,0,2.3,0,4.59,1.72,3.44,0,0,15.49,0,0,0,0,0,0.57,86.07,0.57,2.3,12.05,10.33,0,0,0.57,0,0.57,1.15,0,0,0.57,1.72,0,4.02,0,1.72,1.72,0,0.57
 60-70,0,0,0,12.76,0,0,3.93,1.96,1.96,5.89,13.74,0,0,14.72,0,0,0,2.94,0,2.94,216.92,0,6.87,15.7,19.63,0,0,0,0,4.91,0,0,0,0,0.98,0,3.93,0,11.78,0,0,0.98
 72-82,0,0,0,18.65,0,0,15.71,2.94,1.96,4.91,20.61,0,0,17.67,0.98,0,0.98,0.98,0,0.98,363.21,0,37.3,23.56,18.65,0,0,0.98,0,8.83,0,0,0,1.96,0.98,0,6.87,0,21.6,0.98,10.8,0.98
 84-94,0,0,0,27.61,0,1.06,40.36,2.12,2.12,4.25,9.56,0,0,19.12,0,0,0,0,1.06,4.25,221.97,0,35.05,18.05,14.87,1.06,1.06,2.12,0,4.25,0,0,0,1.06,0,0,3.19,0,12.74,2.12,6.37,0
 96-106,0,0,1.09,28.41,1.09,0,27.32,3.28,2.19,2.19,21.86,4.37,0,18.58,0,0,1.09,1.09,1.09,2.19,321.3,1.09,43.71,10.93,36.06,1.09,2.19,3.28,0,21.86,3.28,0,0,0,3.28,0,4.37,1.09,25.14,1.09,18.58,1.09
108-118,0,0,0,39.83,1.53,0,18.38,0,9.96,2.3,16.85,0,0,13.02,1.53,0.77,0,0.77,0,1.53,337.79,0.77,35.23,14.55,26.81,0,0,0.77,0,26.81,0.77,0,0,1.53,0,0,1.53,0,18.38,3.06,16.85,0.77
120,0,0,0,33.32,0,0,21.56,0,13.72,3.92,19.6,0,0,27.44,0,0,1.96,1.96,0,5.88,333.16,0,41.16,15.68,37.24,0,1.96,1.96,0,23.52,1.96,0,0,1.96,0,0,1.96,0,23.52,1.96,33.32,1.96
