stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,25.18,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,1,0,21,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0.82,3.28,0.82,0,0,0.82,108.35,4.1,0,0,0.82,0.82,4.1,0.82,60.74,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,5.64,0.81,0,0,0.81,0,0,0,0,0,0,0.81,4.83,0.81,0,0,0,262.65,10.47,0,0,0,0,0,0,97.49,0,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,37.87,0.57,0,0.57,5.74,0.57,0,0.57,0,0,0,0,8.03,5.16,0,0.57,0,319.61,4.59,0.57,0,0,0,0,0,73.45,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,159.01,0,0.98,1.96,5.89,0.98,0,0,0,0,0.98,0,4.91,3.93,0,0,0.98,641.92,5.89,0.98,0,2.94,0,0.98,0,90.3,0,0,0.98,0,0
 72-82,0,0,2.94,0,2.94,0,0,234.62,0,0,0.98,11.78,2.94,0,0,0,0,0,0.98,0.98,9.82,0.98,0,0.98,612.56,4.91,0.98,0,1.96,0,0,0,49.08,1.96,0,0.98,0.98,1.96
 84-94,0,0,2.12,0,4.25,1.06,0,146.56,0,1.06,0,14.87,0,0,1.06,1.06,0,1.06,2.12,10.62,8.5,0,1.06,3.19,275.07,4.25,0,0,1.06,0,2.12,0,19.12,9.56,2.12,3.19,0,1.06
 96-106,0,0,1.09,0,8.74,1.09,0,157.37,0,1.09,0,15.3,0,0,0,0,1.09,1.09,0,3.28,9.84,1.09,0,1.09,249.17,9.84,0,0,3.28,0,0,0,10.93,9.84,0,2.19,0,1.09
108-118,0,0,0.77,0.77,2.3,0,0.77,186.13,0,0,0,17.62,1.53,0,0.77,0,0,0,0,6.89,3.06,0.77,0,0,304.09,3.06,3.06,0,1.53,0,1.53,0,13.02,14.55,0,0.77,0,0
120,0,0,1.96,0,5.88,0,0,150.9,0,1.96,0,25.48,1.96,0,0,0,0,0,1.96,0,3.92,0,0,1.96,399.8,3.92,0,0,0,0,0,0,9.8,1.96,0,0,0,0
