stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,16,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,9.85,0,0,4.1,57.46,2.46,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0.81,0,6.45,0,0,8.86,43.51,2.42,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,1.15,0.57,3.44,0.57,0,0,22.95,1.72,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,0.98,0,3.93,0,0,0.98,35.33,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,1.96,0,0.98,0.98,2.94,1.96,0,7.85,0,0,0,64.79,0,0.98
 84-94,0,0,0,0,0,0,2.12,0,0,4.25,0,0,0,2.12,0,0,1.06,0,0,1.06,96.65,0,0
 96-106,0,1.09,1.09,1.09,1.09,1.09,3.28,0,0,12.02,0,0,0,3.28,0,0,2.19,0,0,1.09,99.45,0,1.09
108-118,0,0,1.53,0,0,0,3.06,0.77,0,14.55,0.77,0,0,10.72,1.53,0.77,3.83,0,0,0,89.62,0,0
120,0,0,1.96,1.96,0,0,0,1.96,0,13.72,1.96,0,0,5.88,0,0,1.96,0,0,0,45.08,0,0
