stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,14,0,0,1,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,7.39,0,7.39,0.82,0,0,0,0,0,0,1.64,0.82,3.28,0,8.21,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,16.92,0.81,7.25,1.61,0,0,0,0,0,0.81,0.81,0,0.81,0,7.25,0,0
 48-58,0,0,0,0,0.57,0,1.72,1.15,0,0,0,0,0,21.23,0,10.33,2.87,0.57,0,0,0,0,0.57,0,0,0.57,0,8.03,0,0
 60-70,0,1.96,0,0,0,0,0,0.98,0.98,0,0,1.96,0,33.37,0,5.89,4.91,0,0,0.98,0,0,0,0,0,0.98,0.98,9.82,0,0
 72-82,0,0,0,2.94,0,0,0,1.96,0.98,0.98,0,0,0,49.08,4.91,18.65,10.8,0,0,1.96,0,0,0.98,0,0,1.96,4.91,18.65,5.89,0
 84-94,0,2.12,0,2.12,0,0,0,4.25,2.12,0,0,7.43,2.12,33.99,8.5,8.5,6.37,0,0,0,0,0,0,0,0,0,2.12,15.93,3.19,0
 96-106,0,1.09,0,0,0,0,1.09,6.56,1.09,0,0,0,0,34.97,6.56,3.28,3.28,0,0,3.28,1.09,0,0,0,0,0,2.19,8.74,5.46,0
108-118,0,0.77,0.77,0.77,0,0,0,2.3,2.3,0,0.77,4.6,0,37.53,1.53,4.6,6.13,0,0,5.36,0,0,0,0,0,0,2.3,9.96,4.6,0
120,0,1.96,0,5.88,0,3.92,0,3.92,5.88,0,0,0,0,39.2,0,13.72,9.8,0,1.96,1.96,0,0,3.92,0,0,0,0,11.76,5.88,1.96
