stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,3044.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,790.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,173.5,0,0,0,26.29,68.35,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,40.91,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,3.15,409.11,9.44,0,0,72.38,47.2,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,2,7,32,4,0,12,0,0,0,0,6,31,0,1,9,0,0,0,0,6,6,0,0,209,1,2,9,5,752,0,8,7,13,16,62,0,0,0,0
 24-34,0,0,0.82,2.46,9.85,0,0,23.8,0,0.82,2.46,3.28,1.64,2.46,0,4.1,24.63,0,5.75,2.46,0,5.75,41.86,0,2.46,254.47,0,15.6,2.46,0,820.86,0,0,6.57,1.64,8.21,46.79,0,5.75,0,0
 36-46,0,0,0,0,6.45,0.81,0,13.7,0,1.61,3.22,6.45,2.42,0,0.81,4.03,8.06,0,6.45,0,0,6.45,26.59,0,1.61,116.82,0,12.89,2.42,0,530.13,0,0,3.22,0,0,13.7,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,16.07,0,1.72,4.59,10.33,3.44,2.87,0,4.02,4.59,0,4.59,0,0,0.57,24.1,0,1.15,63.69,0,10.33,2.87,0,397.65,0,0,1.15,0.57,0,8.61,0,0.57,0,0
 60-70,0,0,0,0,20.61,0.98,0,12.76,0,2.94,7.85,17.67,4.91,0,0,8.83,5.89,0,4.91,0.98,0.98,3.93,22.58,0.98,0.98,35.33,0,14.72,2.94,0,277.77,0,0,1.96,0,0,4.91,0.98,1.96,0,0
 72-82,0,0,1.96,0,42.21,0,2.94,11.78,0,3.93,5.89,20.61,48.1,1.96,0,19.63,16.69,0,12.76,0,0,6.87,40.25,0.98,2.94,42.21,0,24.54,17.67,0,290.57,0,0,2.94,0,0,3.93,2.94,0.98,0.98,0
 84-94,0,0,4.25,0,86.03,1.06,7.43,14.87,0,5.31,4.25,11.68,80.71,2.12,0,32.92,28.68,0,15.93,2.12,0,5.31,29.74,0,4.25,26.55,0,22.3,20.18,0,833.7,0,0,5.31,0,0,2.12,11.68,0,1.06,0
 96-106,0,0,0,1.09,133.33,2.19,6.56,13.11,0,14.21,3.28,24.04,120.21,0,0,39.34,38.25,0,14.21,0,0,16.39,53.55,1.09,2.19,51.36,0,40.44,25.14,0,785.76,0,0,2.19,0,0,1.09,7.65,0,2.19,1.09
108-118,0,0,0,0.77,122.55,1.53,23.74,8.43,0,17.62,0.77,24.51,127.15,0,0,22.98,32.17,0.77,11.49,0,0,5.36,31.4,0.77,0.77,30.64,0,22.21,18.38,0,712.35,0,0,1.53,0,0,1.53,26.04,1.53,0,0
120,0,0,0,0,96.03,1.96,5.88,7.84,1.96,17.64,1.96,15.68,72.51,0,0,43.12,15.68,0,7.84,1.96,0,1.96,25.48,0,0,21.56,0,11.76,13.72,0,352.76,0,0,1.96,0,0,0,5.88,1.96,0,0
