stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,3,1,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,13.13,0.82,0,0,0,5.75,0,2.46,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0.81,4.03,0,1.61,0
 48-58,0,0,0,0,0,0,4.02,0,1.15,0.57,0,0,0,0,0,1.15,0,0,14.92,0,0,0,0.57,6.89,0,2.3,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,4.91,0,0,0,0,0,1.96,0,0,8.83,0,0,0,0,6.87,0,1.96,0.98
 72-82,0,0.98,0,0,0.98,0,6.87,0.98,1.96,33.38,0,0,0,0,0,4.91,0.98,0,21.6,0,0.98,0,0,7.85,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,2.12,66.91,0,0,0,0,0,1.06,1.06,0,6.37,0,0,0,1.06,21.24,0,1.06,1.06
 96-106,0,1.09,0,1.09,3.28,1.09,6.56,1.09,3.28,88.52,1.09,0,0,2.19,0,7.65,0,0,14.21,0,1.09,0,1.09,29.51,0,0,0
108-118,0,0,0,0.77,0,0,6.89,0.77,2.3,82.72,0.77,0.77,1.53,0,0.77,6.89,0,0,17.62,0.77,0.77,0,1.53,15.32,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,60.75,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,11.76,0,0,0
