stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,12.59,3.15,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,6,4,0,1,0,0,0,1,0,0,19,0,0,0,0,0,2,0,0,0,26,3,0,1,2,2,3,0,3,5,0,0,0,0,0
 24-34,0,0.82,5.75,2.46,0,3.28,0,0,0,0.82,0,0,76.34,0,0,0,0,0,3.28,0,0,0.82,29.55,0.82,0,0.82,0,6.57,0,1.64,0.82,5.75,0,0,2.46,0,0
 36-46,0,0,1.61,1.61,0,3.22,0,0.81,0,1.61,0,0,116.02,0,0,0,0,0.81,5.64,0.81,0,0,12.09,2.42,0.81,0.81,0,4.03,0,0.81,0,2.42,0,0,2.42,0,0
 48-58,0,0,1.15,8.03,0,1.72,0,0,0,1.15,0,0,112.47,0,0,0,0.57,0,4.59,0,0.57,0.57,12.62,0,0,0,0,5.16,0,0,0,0,0,0,11.48,0,0.57
 60-70,0,0,0.98,16.69,0,3.93,0.98,0,0,0.98,0,0,149.19,0,0,0,0,0.98,8.83,0,0.98,0.98,15.7,0.98,0,0.98,0,8.83,0,0,0,1.96,0,0,23.56,0,0
 72-82,0,0,2.94,55.95,0,3.93,0,0,0,0,0,0,283.7,0,0,1.96,0.98,0,10.8,1.96,0.98,1.96,7.85,1.96,0,2.94,0,2.94,0,0.98,0,0,0,0.98,48.1,0,0
 84-94,0,0,1.06,66.91,0,7.43,0,0,0,3.19,2.12,1.06,345.16,0,0,0,1.06,0,6.37,0,0,2.12,6.37,2.12,1.06,2.12,0,11.68,0,0,0,0,0,0,44.61,1.06,0
 96-106,0,0,2.19,86.33,0,7.65,0,1.09,1.09,1.09,1.09,0,433.86,2.19,1.09,1.09,3.28,0,8.74,0,0,1.09,18.58,3.28,0,1.09,0,8.74,0,0,0,0,0,1.09,68.85,0,0
108-118,0,0,4.6,80.43,6.13,3.83,0,0,1.53,2.3,0.77,0,366.9,0.77,0.77,0,0,2.3,6.13,0,0.77,0.77,9.96,4.6,0,0,0,11.49,0,0.77,0,0.77,1.53,0.77,50.55,0,1.53
120,0,0,7.84,82.31,5.88,5.88,0,0,0,3.92,0,1.96,480.15,0,0,0,0,0,11.76,0,0,3.92,17.64,1.96,0,0,0,9.8,0,0,0,1.96,0,1.96,52.91,0,0
