stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,9,1,0,0,0,0,1,4,0,0,0
 24-34,0,0,1.64,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,0.82,2.46,0,0,3.28,21.34,1.64,0,0,0.82,0,1.64,4.93,0.82,0,0.82
 36-46,0,0,2.42,0,0,8.06,0,1.61,0,0,0,0,0,0,0,0,5.64,0,0,0.81,15.31,1.61,0,0,0.81,0,0,6.45,0.81,0,1.61
 48-58,0,0,0,0,0,5.74,0,0.57,4.59,0,0,0.57,0,0,0,1.15,10.33,0.57,0,4.02,22.38,0,0.57,0,0.57,0,0,5.74,0.57,0,0.57
 60-70,0,0,2.94,0,0,12.76,0,1.96,0,0,0,0,0,0,0,0.98,18.65,0,0,0,17.67,0.98,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,0,13.74,0.98,2.94,1.96,0,0,0.98,0,0.98,0,0.98,40.25,0,0,3.93,10.8,0,0,0.98,0,0,0,0,1.96,1.96,0
 84-94,0,0,2.12,2.12,0,9.56,1.06,4.25,1.06,1.06,0,0,0,0,0,1.06,36.11,0,0,1.06,10.62,0,0,0,3.19,1.06,0,0,0,0,3.19
 96-106,0,0,5.46,0,1.09,13.11,1.09,0,5.46,0,0,0,0,1.09,1.09,1.09,24.04,0,0,0,9.84,0,0,0,1.09,0,0,0,1.09,0,2.19
108-118,0,0,0,0,0,6.89,0,1.53,4.6,0,0,0.77,0.77,0,0.77,0,21.45,0,0.77,3.83,9.19,0,0,2.3,0,0,0,0,0,0.77,3.83
120,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,13.72,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,1.96
