stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,3,0,0,0,49,0,0,0,0,0,0,0,2,2,30,0,20,20,2,0,0,1,1,81,1,129,0,0,0,0
 24-34,0,1.64,0,1.64,0,1.64,0,28.73,0,0,0,0,7.39,0,0.82,3.28,0,111.64,0.82,99.32,19.7,0,0,0.82,0,0,52.53,0.82,95.22,0,0,0.82,0
 36-46,0,0,0,1.61,0.81,0.81,0,16.11,0,0,0,0,2.42,0,0,1.61,0.81,150.66,0.81,99.1,2.42,0,0,0,0,0,20.95,0,64.45,0,0,0,0
 48-58,0,0,0,0,0,4.59,0,34.43,0,0,0,0,3.44,0.57,0.57,1.15,0,125.66,0.57,69.43,6.89,0,0,0,0,0,7.46,0,45.33,0,0,1.15,1.15
 60-70,0,0,0,1.96,0,6.87,0,40.24,0.98,0,0,0,2.94,0,0,0.98,0,177.66,0,57.91,14.72,0,0.98,0.98,0,0,5.89,0,34.35,0,0,0,0
 72-82,0,10.8,0,2.94,0.98,10.8,0,59.88,10.8,0.98,0,0,11.78,0,0,3.93,0,112.89,0,99.15,18.65,0,0,0,0,0,7.85,0,31.41,0.98,0.98,0,0
 84-94,0,5.31,2.12,3.19,0,5.31,0,41.42,5.31,0,0,0,12.74,0,0,2.12,0,67.97,0,124.26,32.92,0,0,0,0,0,8.5,0,24.43,0,0,0,0
 96-106,0,6.56,2.19,0,1.09,8.74,0,34.97,13.11,2.19,1.09,0,27.32,0,0,2.19,0,52.46,0,193.43,38.25,0,0,2.19,0,0,10.93,0,26.23,0,0,0,0
108-118,0,6.13,2.3,0.77,0,6.89,0.77,21.45,0.77,0,0,0.77,15.32,0.77,0,3.06,0.77,54.38,0,117.19,22.98,0,0,0,0,0,7.66,0,13.79,0.77,0,0,0
120,0,1.96,0,0,0,1.96,0,15.68,5.88,0,0,0,9.8,0,0,1.96,0,58.79,0,66.63,17.64,0,0,0,0,0,7.84,0,5.88,0,1.96,0,0
