stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,1,0,1,0,0,0,2,3,0,0,0,0,1,1,0,2,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0.82,4.1,0,0,0,0,0.82,0,0.82,0.82,2.46,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,6.45,0,0,0,0,0,0,0.81,0,1.61,0.81,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,4.91,0.98,2.94,0,0,1.96,0,12.76,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,3.19,0,1.06,0,2.12,2.12,2.12,3.19,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,1.09,0,0,6.56,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,2.3,0,0.77,3.06,0,1.53,0.77,0,0,0,1.53,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0
