stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,6.57,0,0,1.64,0,0,0,4.1,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,26.59,0,0,0.81,0,0.81,0,4.03,0
 48-58,0,1.15,0,1.15,0,0,0,0,0,0,1.15,0,1.15,47.05,0,0,1.15,0,0.57,0,7.46,0.57
 60-70,0,0,0,11.78,0.98,2.94,0,0,0.98,0,1.96,0,0,97.17,0,0.98,0.98,0,0,0,16.69,0.98
 72-82,0,2.94,0.98,13.74,0,3.93,0.98,0,0,0,5.89,0.98,0,108.96,0,0,0,0,0,0,4.91,0.98
 84-94,0,0,0,9.56,0,0,0,0,0,1.06,1.06,1.06,0,53.1,0,1.06,0,0,0,0,4.25,1.06
 96-106,0,1.09,0,5.46,0,4.37,0,0,0,0,2.19,1.09,0,50.27,0,0,1.09,0,0,0,6.56,1.09
108-118,0,0,0,7.66,0,4.6,0,1.53,0,0,0.77,0,0.77,40.6,0,0,2.3,0.77,0.77,0,0.77,0.77
120,0,0,0,7.84,0,1.96,0,0,0,0,3.92,0,0,45.08,0,1.96,0,1.96,0,0,1.96,1.96
