stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0,0,0.82,0,6.57,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0.98,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,1.96,0.98,0.98
 72-82,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0.98,4.91,0.98,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,3.19,0,0,0,0,1.06,0,0,0,3.19,2.12,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,1.09,7.65,2.19,0,0,0,0,0,0,1.09,4.37,1.09,0
108-118,0,0,0,0.77,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0.77,1.53,0
120,0,1.96,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0,0
