stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,150,0,1,0,0,0,4,1,0,0,2,59,0,0,0,0,0
 24-34,0,0,0,2.46,0,7.39,0,0.82,0,6.57,0,0,0,0,0,0,0,3.28,0,2.46,316.03,0,5.75,0,0,0,7.39,0,0.82,0,0,91.12,0,0,1.64,0,0
 36-46,0,0.81,0,1.61,0,19.34,0.81,0,0,10.47,0,1.61,0,0,0,0,0,5.64,0,2.42,668.71,0,6.45,0,0,0,3.22,0,0.81,0,0,107.15,0,0,0.81,0,0
 48-58,0,0,0,3.44,0,61.4,0.57,0.57,0,27.54,0,0,0,0.57,0,0,0,5.74,0.57,0.57,752.83,0,4.59,1.72,0,0,2.87,0,0,0,0,133.7,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,188.45,0,0,0.98,55.95,0,0,0.98,0,0,0.98,0.98,17.67,0,1.96,1067.9,0.98,4.91,0,0,0.98,1.96,0,0,0,0,105.02,0.98,0,0.98,0,0
 72-82,0,0.98,0,4.91,0,150.19,0.98,0.98,0,39.27,0.98,0,0,0,0.98,0.98,0,11.78,0,2.94,791.22,0,3.93,0.98,0.98,0,0.98,0,0,2.94,0,64.79,0,0,1.96,0.98,0
 84-94,0,0,0,3.19,1.06,110.45,0,2.12,1.06,29.74,2.12,1.06,0,0,0,0,0,8.5,3.19,1.06,429.06,0,1.06,2.12,0,0,4.25,0,0,1.06,0,38.23,1.06,0,0,1.06,1.06
 96-106,0,0,0,7.65,1.09,89.61,0,0,1.09,19.67,0,0,3.28,0,1.09,0,1.09,13.11,0,0,333.32,1.09,1.09,3.28,0,0,2.19,0,0,0,0,13.11,8.74,1.09,0,2.19,2.19
108-118,0,1.53,0,4.6,0.77,69.7,1.53,0.77,0.77,20.68,0.77,0,0.77,0.77,0,0.77,0,9.96,0,3.06,350.81,0,3.06,0.77,0,0,2.3,0,0.77,0,0,9.96,3.83,0,1.53,0,1.53
120,0,0,0,13.72,1.96,76.43,0,3.92,0,23.52,0,0,0,0,1.96,0,1.96,1.96,0,3.92,364.52,0,0,0,0,1.96,0,0,0,0,0,19.6,7.84,0,0,0,0
