stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,88.12,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1,0,3,0,0,2,0,0,29,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,3.28,0,0,0,2.46,0,0,0,0,0,0,0,5.75,0,0,1.64,88.65,0,0,7.39,0,0.82,0,0,0,0,22.16,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,12.89,0,0,2.42,140.99,0,0,1.61,0,0,0,0,0,0,27.39,0,0,0,0,0
 48-58,0,0,0,0,3.44,0.57,0,25.82,0,0.57,1.15,7.46,0,0,0,0,0,0,1.15,13.2,0,0,0.57,149.76,0.57,0.57,4.59,0,0.57,0,0,0,0.57,23.53,0,0,1.15,0,1.72
 60-70,0,0,0,0,0.98,0,0,25.52,0,0,0.98,6.87,0,0,1.96,0.98,0,0,0,16.69,0,0.98,1.96,171.77,0.98,0.98,1.96,0,0.98,0,0,0,0,9.82,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,2.94,0,40.25,0,0,0,14.72,0.98,0,0.98,0,0,0.98,0,26.5,0,0,4.91,236.58,0,0.98,1.96,0,3.93,0,0,0.98,0,6.87,0,0,3.93,0,0.98
 84-94,0,0,0,0,4.25,1.06,0,25.49,0,0,1.06,5.31,0,0,1.06,0,0,0,0,15.93,0,1.06,1.06,146.56,0,1.06,1.06,0,6.37,0,0,0,0,7.43,0,0,1.06,2.12,0
 96-106,0,0,0,0,2.19,2.19,1.09,28.41,0,0,1.09,12.02,1.09,0,0,0,0,0,2.19,19.67,0,0,3.28,120.21,0,2.19,10.93,0,5.46,0,0,1.09,0,2.19,0,1.09,1.09,2.19,1.09
108-118,0,0,0.77,0,7.66,3.06,0.77,19.15,0,0,0,6.89,2.3,0,3.06,0.77,0.77,0,1.53,26.04,0.77,0,3.06,160.85,0,0.77,3.06,0,3.06,0,0,0,0,0.77,0,0,1.53,0,1.53
120,0,0,0,0,3.92,1.96,0,23.52,1.96,0,0,11.76,0,0,0,3.92,0,0,5.88,19.6,0,0,0,244.97,1.96,1.96,1.96,0,11.76,1.96,0,0,0,0,0,0,0,0,0
