stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,15.77,0,78.86,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,12.59,0,28.32,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,61,0,1,0,0,0,0,0,0,5,0,0,0,0,0,18,0,0,10,6,1,0,8,0,0,40,0,5,3,6,11,6,0,10,0,0
 24-34,0,0,0,0,2.46,4.1,0,0.82,1.64,0,0,0,0,0,13.95,0,0,0.82,0,1.64,27.09,0,0,15.6,47.61,0.82,3.28,13.13,0,0.82,42.68,0,0,13.95,4.93,4.93,4.1,0,51.71,0,1.64
 36-46,0,0,0,0,0,0,0,4.03,9.67,0,0,0.81,0,0,4.83,0,0,1.61,0,0,16.92,0,0,2.42,20.95,0,6.45,6.45,0,0.81,28.2,0,0,3.22,4.03,0,4.83,0,24.17,0,0
 48-58,0,0,0,0,0,0,0,2.87,6.89,0.57,0,3.44,0,0,8.03,0,2.3,0.57,0,0,8.61,0,0,0.57,13.2,0,6.89,10.9,0,0,12.62,0,0,1.15,1.15,0,5.16,0.57,17.21,0,0
 60-70,0,0,0,0,1.96,0,0,1.96,8.83,0,0,9.82,0,0,7.85,0.98,5.89,0.98,0,0,2.94,0,0,0.98,3.93,0,16.69,9.82,0,0,22.58,0,0,0.98,2.94,0,0.98,0,14.72,0,0
 72-82,0,0,0,0,0,1.96,0,2.94,4.91,0,0,20.61,0,0,1.96,0,4.91,2.94,0,0,7.85,0,0,0.98,9.82,0,15.71,27.49,0,0,4.91,0,0,0,0,0,0,0,26.5,0.98,0
 84-94,0,0,1.06,0,2.12,1.06,1.06,7.43,2.12,0,0,12.74,0,0,4.25,1.06,3.19,2.12,0,0,5.31,1.06,1.06,4.25,5.31,0,7.43,20.18,0,0,23.36,0,0,0,1.06,0,1.06,1.06,19.12,0,0
 96-106,0,0,0,0,5.46,3.28,0,3.28,4.37,0,1.09,15.3,1.09,0,6.56,0,5.46,6.56,1.09,0,5.46,1.09,0,2.19,10.93,0,18.58,36.06,0,0,6.56,0,0,1.09,2.19,0,1.09,0,17.49,0,0
108-118,0,0,0,0,1.53,1.53,0,9.19,1.53,0.77,0,13.02,0.77,0,3.06,0,14.55,5.36,0,0,6.89,0.77,0,2.3,11.49,0,12.26,37.53,0,0.77,7.66,0,0,0,1.53,0,0,0,13.02,0,0
120,1.96,0,0,0,7.84,0,0,1.96,3.92,0,0,17.64,1.96,0,7.84,0,5.88,1.96,0,0,3.92,0,0,1.96,5.88,0,19.6,27.44,0,0,1.96,0,0,0,3.92,0,0,0,13.72,0,0
