stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,42.91,539.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,15.77,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,6.29,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,4,0,1,0,3,0,1,0,1,0,4,7,0,0,0,0,5,0,0,1,32,0,0,7,5,0,61,0,2,79,5,2,0,0,0
 24-34,0,0,0,4.1,0,0,4.1,0,3.28,7.39,0.82,0,0,0,6.57,9.85,0,1.64,0,0,4.93,0.82,0,1.64,15.6,0.82,10.67,1.64,0,0,73.88,0,0,30.37,3.28,3.28,0,2.46,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,8.86,0,0,0,0,11.28,2.42,0,0.81,0,0.81,2.42,0,0,0,12.09,0,4.83,0.81,0,0,24.98,0,0,12.09,0.81,1.61,0,0.81,0
 48-58,0,0,0,2.3,0,0,3.44,0.57,0,17.79,0.57,0,0,0,17.21,1.15,0,0.57,0,1.15,1.72,0,0,2.3,9.18,0,0.57,0,0,0,23.53,0,0,5.74,0,0.57,0,0,1.72
 60-70,0,0,1.96,4.91,0.98,0,2.94,0,0.98,11.78,0,0.98,0,0.98,8.83,0.98,0,0,0,0.98,3.93,0,0,1.96,6.87,0,1.96,0,0,0,29.45,0,0,3.93,0,0.98,0,1.96,0
 72-82,0,0,0,1.96,3.93,0,11.78,0,0.98,19.63,2.94,1.96,0,0,28.47,4.91,0,1.96,0.98,0,13.74,0,0.98,0.98,18.65,0,4.91,1.96,0,0.98,23.56,0,0,16.69,0,0.98,0.98,2.94,0.98
 84-94,0,0,1.06,6.37,0,0,4.25,0,4.25,13.81,2.12,2.12,0,1.06,39.3,2.12,1.06,1.06,2.12,1.06,8.5,3.19,0,2.12,5.31,0,1.06,2.12,0,0,138.06,0,0,52.04,0,0,1.06,6.37,1.06
 96-106,0,0,1.09,10.93,4.37,0,3.28,0,0,9.84,3.28,5.46,0,0,53.55,7.65,1.09,1.09,1.09,1.09,18.58,3.28,0,1.09,17.49,1.09,12.02,3.28,0,0,71.04,0,0,37.16,0,1.09,3.28,6.56,2.19
108-118,0,0,0,22.21,0.77,0.77,6.89,0.77,2.3,5.36,12.26,3.83,0,0,53.62,5.36,0.77,1.53,1.53,0.77,8.43,0.77,0.77,2.3,16.09,0,3.06,4.6,0,0,70.47,0,0,36,0,1.53,3.83,2.3,0.77
120,0,0,0,27.44,3.92,0,3.92,0,0,9.8,3.92,9.8,0,0,58.79,1.96,1.96,1.96,1.96,0,7.84,0,1.96,5.88,11.76,0,0,0,0,0,84.27,0,0,25.48,0,9.8,3.92,3.92,0
