stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,16,0,0,1,0,10,0,1,0,0,0,3,2,37,1,0,0
 24-34,0,0,0,0.82,0,13.13,0,0,2.46,0.82,16.42,0,0.82,0,0,0,4.1,0,24.63,0,0,0
 36-46,0,0.81,0,3.22,0.81,14.5,0,0,1.61,0,15.31,1.61,0,0,0,0,2.42,0,21.75,0,0,0
 48-58,0,0,0,4.59,0,13.77,0,0,3.44,1.15,22.38,1.15,0,0,1.15,0.57,1.15,0,23.53,0,0,0
 60-70,0,0,0,4.91,0,5.89,0,0,2.94,0.98,13.74,0,0,0,1.96,0,0,0,13.74,0,0,0.98
 72-82,0,0,0.98,7.85,0,9.82,0.98,3.93,3.93,0,23.56,1.96,0,0,0,0,0,0,8.83,0,0.98,0
 84-94,0,0,1.06,9.56,0,6.37,0,1.06,2.12,1.06,7.43,6.37,0,0,0,0,5.31,0,6.37,0,0,0
 96-106,0,0,0,2.19,1.09,9.84,0,0,2.19,0,14.21,6.56,0,0,0,0,0,0,5.46,0,0,0
108-118,0,0.77,0,2.3,0,5.36,0,1.53,2.3,0.77,11.49,4.6,0,0,0,0,0.77,0,2.3,0.77,0,0
120,0,0,0,1.96,0,1.96,0,0,1.96,0,13.72,0,0,0,0,0,1.96,0,1.96,0,0,0
