stage,axial,blastomeres,endoderm,eye,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,52.71,0,0
  5-6,18.39,214.54,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,5.26,5.26,5.26,5.26,0,0,0,120.92,0,65.72,0,0,0
 10-12,0,3.15,15.73,34.62,3.15,0,0,0,185.67,9.44,75.53,0,12.59,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0
