stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,326,1,1,0,1,0,0,0,0
 24-34,0,0.82,2.46,0,0,4.1,0,0.82,0,0,0,0,0.82,0,0,0.82,0,6.57,0,0,19.7,1.64,0,0,0,750.26,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,3.22,0,2.42,0.81,0,0,0.81,0,0,0,0,2.42,2.42,0,1.61,12.09,0,0,0,0,639.7,0,0,0,4.83,0,0,0,0
 48-58,0,0,2.87,0,0,7.46,0,4.59,1.15,0.57,0.57,1.15,0.57,0,0,0,3.44,4.59,0,0.57,12.62,0,0,0,0,568.64,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,3.93,0,0,6.87,0,2.94,0,0,0,3.93,1.96,0,0,0,0.98,3.93,0,0.98,5.89,0.98,0,0,0,550.63,0,0,0,0,0.98,0,0,0
 72-82,0,0,11.78,0,0,7.85,0.98,4.91,0,0,0,9.82,3.93,0.98,0.98,0.98,4.91,6.87,0,0,12.76,0,0,0,0,641.03,0,0,0,0.98,0,0,0,0
 84-94,0,0,14.87,0,0,3.19,0,30.8,4.25,0,0,16.99,11.68,0,0,1.06,2.12,13.81,0,1.06,6.37,0,1.06,0,0,1744.93,0,0,0,0,0,0,0,0
 96-106,0,0,50.27,3.28,0,8.74,0,21.86,1.09,1.09,0,24.04,10.93,0,2.19,3.28,2.19,20.76,2.19,0,19.67,2.19,0,0,0,1675.33,0,0,0,0,1.09,1.09,2.19,1.09
108-118,0,0,48.26,0,0.77,2.3,0,24.51,3.06,1.53,0,10.72,18.38,0,0,0.77,2.3,20.68,0,0,11.49,1.53,0,0,0.77,1176.52,0,0,0,0.77,0.77,0,0,0
120,0,0,45.08,0,0,3.92,0,23.52,0,1.96,0,25.48,5.88,0,0,0,5.88,13.72,0,0,11.76,0,0,0,0,701.6,0,0,0,0,0,0,0,0
