stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,2,4,0,1,1,0,0,1,1,1,0,2,25,0,0,0,0,1,2,3,18,0
 24-34,0,0,0.82,0,0,0.82,0,2.46,0.82,0,0,0,0,1.64,0,1.64,35.3,0,0.82,0.82,0,2.46,0,1.64,17.24,0
 36-46,0,0,0,0.81,0,1.61,0,1.61,0,0,0,0,0.81,1.61,0,0,16.92,0,0,0,0,0.81,0,0,8.06,0
 48-58,0,0,0,0,0,3.44,0,1.72,0,0,0,0,1.72,4.02,0,0.57,11.48,0,0,0,0,0,0,0,5.74,0
 60-70,0,0,0,0,0,0,0,2.94,0.98,0,0,0,1.96,2.94,0,0,5.89,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0,3.93,3.93,0,0,5.89,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,1.06,3.19,1.06,0,1.06,0,1.06,2.12,1.06,0,2.12,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,2.19,1.09,3.28,0,2.19,1.09,0,1.09,0,4.37,5.46,0,1.09,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,1.53,0,4.6,0.77,0,0,0,1.53,3.83,0,1.53,3.83,0.77,0,3.06,0,1.53,0,0,0,1.53
120,0,0,0,5.88,0,0,0,3.92,0,0,0,0,3.92,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0
