stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral_line,liver,mesenchyme,neural,otic,paraxial_mesoderm,pronephros,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0.82,0.82,0,0,0,6.57,0,0,5.75,0.82
 36-46,0,0,0.81,0,0.81,0.81,0,0.81,0.81,4.03,0,0,4.03,0
 48-58,0,0,0,0.57,1.72,0.57,0,0,0.57,2.3,0,0,1.72,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,1.96,0,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,2.19,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,0,0,3.06,0,0,0,0
120,0,1.96,0,0,1.96,0,3.92,0,1.96,1.96,0,0,0,0
