stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,14,3,0,2,0,0,0,3,1,22,0,0,0,1,0,36,0,0,34,63,84,0,1,3,0,4,576,1,533,2208,12,0,0,1,0,0
 24-34,0,0.82,9.85,3.28,0,7.39,216.71,0,1.64,3.28,0,11.49,0,0,0,0,1.64,16.42,0,0.82,54.18,116.56,9.03,0.82,0,0,0,6.57,4.93,0,270.88,667.36,27.09,0,0,4.93,0,0
 36-46,0,0,2.42,0,0,18.53,496.29,0,0.81,7.25,0,9.67,0,0,0,0,0,9.67,0,0,40.28,77.34,4.83,1.61,1.61,0,0,4.03,1.61,0,232.84,32.23,20.95,0,0,2.42,0,0.81
 48-58,0,0,1.72,0,0,48.77,438.96,0.57,1.72,14.35,0,5.16,0,0,0,0,1.15,19.51,0,0,102.14,134.27,1.72,0.57,0.57,0,0,3.44,0,0,179.6,0.57,54.51,0,1.15,1.15,0,5.16
 60-70,0,0,0,0,0,23.56,293.48,0,0.98,2.94,0,3.93,0,0,0.98,0,0,7.85,0.98,0,83.43,45.15,0.98,0,0,0.98,0,2.94,0,0,112.88,0,4.91,0,0,0,7.85,0
 72-82,0,0,3.93,6.87,0,20.61,154.12,0,1.96,4.91,0.98,1.96,0.98,0,0,0.98,0,19.63,0,2.94,76.57,44.17,0.98,0,1.96,0.98,0.98,2.94,0,0,64.79,0,3.93,0,3.93,1.96,29.45,0
 84-94,0,0,3.19,2.12,0,9.56,133.82,0,0,2.12,0,5.31,0,1.06,1.06,2.12,1.06,5.31,0,0,72.22,20.18,0,0,0,0,0,2.12,0,0,107.27,0,2.12,0,2.12,2.12,29.74,2.12
 96-106,0,0,2.19,4.37,0,28.41,170.48,4.37,0,8.74,0,9.84,2.19,1.09,3.28,0,1.09,9.84,0,2.19,93.98,18.58,1.09,1.09,0,1.09,0,6.56,0,0,116.93,0,2.19,1.09,1.09,1.09,38.25,2.19
108-118,0,0,0,1.53,0,6.13,99.58,0,0,0.77,0,6.89,0.77,0.77,0,0,1.53,2.3,0,0.77,92.68,16.09,0,0,0.77,0.77,0,2.3,0,0,73.53,0,0,0,0,0,20.68,0.77
120,0,1.96,3.92,1.96,3.92,3.92,86.23,0,1.96,1.96,0,3.92,0,0,0,0,0,3.92,0,0,115.63,19.6,0,0,0,0,0,1.96,1.96,0,23.52,0,0,0,0,0,17.64,0
