stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,12,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0
 24-34,0.82,0,0,9.85,2.46,0,275.81,0,1.64,0,2.46,0.82,1.64,0.82,2.46,3.28,1.64,1.64,133.8,23.8,0,0,13.95,219.99,1.64,1.64,5.75,0,14.78,0,0.82,2.46,4.1,49.25,0,0,5.75,0,1.64
 36-46,0,0,0.81,4.83,1.61,0,201.42,1.61,0,0,6.45,0,0,0.81,0.81,4.03,0,2.42,182.08,25.78,0.81,0,12.09,185.3,0.81,2.42,2.42,0.81,13.7,0.81,0.81,0,0,52.37,0,0,4.83,0,3.22
 48-58,0,0,0,2.87,1.72,0,241.57,1.15,1.15,1.72,17.21,0,0.57,0.57,0.57,10.33,0,0.57,138.86,27.54,0.57,1.15,4.02,179.6,1.15,0,1.15,0,6.89,0,0.57,0.57,0,40.74,0,0,3.44,0,4.02
 60-70,0,0,0,4.91,2.94,0,258.14,0,1.96,1.96,13.74,0.98,0.98,2.94,0,28.46,0,0,99.13,32.39,0,0.98,1.96,142.32,0,0.98,0,0,8.83,0,0,0,0,22.58,0,0.98,1.96,0.98,6.87
 72-82,0,0,0,3.93,6.87,0,172.77,0,1.96,2.94,12.76,1.96,0,1.96,0,19.63,0,1.96,80.5,23.56,0.98,2.94,0.98,89.33,0,0.98,0,0,5.89,0,0,0.98,0,10.8,0,0.98,3.93,0.98,2.94
 84-94,0,1.06,0,14.87,7.43,1.06,294.18,0,2.12,4.25,18.05,3.19,1.06,6.37,2.12,35.05,1.06,1.06,137,26.55,1.06,1.06,2.12,57.35,1.06,2.12,3.19,0,25.49,0,1.06,1.06,0,3.19,0,1.06,2.12,1.06,3.19
 96-106,0,0,0,17.49,14.21,1.09,263.38,0,4.37,1.09,13.11,5.46,0,5.46,2.19,22.95,2.19,4.37,81.96,29.51,1.09,1.09,5.46,77.59,0,3.28,5.46,2.19,16.39,0,0,0,0,4.37,1.09,1.09,6.56,0,3.28
108-118,0,0.77,0.77,7.66,9.19,3.06,267.32,0,1.53,0,12.26,3.06,0,0,3.06,34.47,0,5.36,118.72,32.17,0.77,1.53,1.53,75.06,2.3,2.3,2.3,0.77,13.79,0,0,0,0,0.77,0.77,1.53,2.3,1.53,3.83
120,0,0,0,1.96,3.92,0,121.51,1.96,1.96,1.96,3.92,7.84,0,0,0,21.56,0,0,48.99,15.68,0,1.96,1.96,66.63,0,0,1.96,0,5.88,0,0,0,0,3.92,0,0,1.96,0,0
