stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,263.56,3281.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0
  5-6,631.35,6675.17,0,18.39,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,245.19,36.78,0,0,85.81,0,110.33,0,0,0,0,0,0,0,0
  7-9,160.35,115.66,0,144.58,0,0,283.9,0,0,0,0,141.95,0,0,0,0,0,0,0,0,0,0,3080.85,165.61,0,0,1198.69,0,5.26,7.89,0,0,0,0,0,0,0
 10-12,6.29,37.76,0,66.09,0,9.44,135.32,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,1268.23,78.67,0,0,478.34,0,0,0,0,31.47,0,0,0,0,0
 14-21,0,0,0,1,78,6,20,1,0,6,5,0,0,0,6,1,0,0,18,1,0,9,178,5,2,0,8,0,14,0,39,4,2,26,64,0,0
 24-34,0,0,1.64,0,6.57,0.82,9.03,0.82,0,2.46,0,0,0,0,4.93,0,0,0,12.31,0,0,5.75,99.32,0.82,3.28,3.28,0,0,19.7,0,0,1.64,0,4.1,19.7,1.64,0.82
 36-46,0,0,0,0,0,0,10.47,0.81,0,0.81,0.81,0,0.81,0,0.81,0,0.81,0,5.64,0,0,0,37.87,0.81,0.81,0.81,0,0,8.86,0.81,0,0,0,0,10.47,0.81,0
 48-58,0,0,0,0,2.87,0,17.79,0,0.57,2.3,0,0,0,1.15,0,0,0.57,0.57,5.74,0,0,0,20.08,0,0,0.57,0,0,3.44,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0.98,0,20.61,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98,1.96,0,0,0.98,28.46,0,0.98,0,0,0,1.96,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0.98,0,3.93,0,10.8,0.98,0.98,0,0.98,0,0,1.96,1.96,0,0,0,0.98,0,0.98,0,9.82,0,0,0.98,0,0.98,5.89,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,1.06,0,6.37,0,9.56,0,0,1.06,0,0,0,2.12,2.12,0,0,0,2.12,0,1.06,0,12.74,0,0,0,0,0,5.31,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,4.37,0,0,3.28,0,0,0,4.37,3.28,0,1.09,0,2.19,0,1.09,0,4.37,0,0,1.09,0,0,7.65,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,0,1.53,3.06,0,0,0.77,0,0,0,3.06,1.53,0,0,0,2.3,0,0,0.77,7.66,0,0,0,0,0,6.89,0,0,0.77,0,0,1.53,1.53,0.77
120,0,0,0,0,0,0,5.88,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0
