stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,2,1,16,0,0,2,0,3,1,3,13,0,0,0,0
 24-34,0,0,0,0.82,0,4.93,0,0,0,0,0,0,0.82,0,0,0,0,0,9.85,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,1.61,0.81,10.47,0.81,0,0,1.61,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0,41.89,0,0,2.87,0,0,0,0.57,0,0.57,0,0,1.15,5.74,0,0,0,0,0,0,0,1.15,0,0.57,0,0.57
 60-70,0,0,0,0,0,256.18,0,0,4.91,0,0,0,0.98,0,0,0,1.96,0,16.69,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,304.32,0,0.98,12.76,0,0,1.96,0,0,0,0.98,1.96,0.98,25.52,0.98,0,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,5.31,0,194.35,1.06,0,13.81,0,0,0,4.25,0,0,0,6.37,2.12,21.24,1.06,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,1.09,182.51,1.09,0,8.74,0,1.09,0,0,1.09,0,0,5.46,0,22.95,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,90.38,0,0,2.3,0.77,0,1.53,1.53,0,0.77,0.77,3.83,1.53,13.02,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,3.92,0,64.67,0,0,1.96,0,1.96,0,1.96,0,0,0,3.92,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0
